daaa,dus3mt,dum7599,year,month,month2,paneldate
0.39,0.15,0,1974,1,00/June,1974m1
-0.7,0.02,0,1974,2,00/June,1974m2
0.93,0.16,0,1974,3,00/June,1974m3
0.24,0.24,0,1974,4,00/June,1974m4
0.2,0.12,0,1974,5,00/June,1974m5
-0.28,0.1,0,1974,6,00/June,1974m6
-0.4,0.25,0,1974,7,00/June,1974m7
1,0.28,0,1974,8,00/June,1974m8
-0.38,0.24,0,1974,9,00/June,1974m9
-1.13,0.03,0,1974,10,00/June,1974m10
0.35,-0.38,0,1974,11,00/June,1974m11
-0.41,0,0,1974,12,00/June,1974m12
-0.69,-0.06,1,1975,1,00/September,1975m1
-0.9,-0.21,1,1975,2,00/September,1975m2
-0.04,0.05,1,1975,3,00/September,1975m3
0.14,0.28,1,1975,4,00/September,1975m4
-0.37,-0.05,1,1975,5,00/October,1975m5
-0.12,-0.13,1,1975,6,00/October,1975m6
0.97,0.07,1,1975,7,00/October,1975m7
0.29,0.11,1,1975,8,00/October,1975m8
-0.08,0,1,1975,9,00/October,1975m9
-0.3,-0.09,1,1975,10,00/October,1975m10
-0.61,-0.08,1,1975,11,00/October,1975m11
0.03,0.01,1,1975,12,00/October,1975m12
-0.54,-0.19,1,1976,1,01-Jan,1976m1
-0.11,-0.05,1,1976,2,01-Jan,1976m2
0.2,-0.03,1,1976,3,01-Jan,1976m3
-0.17,-0.12,1,1976,4,01-Jan,1976m4
0.31,0.18,1,1976,5,01-Jan,1976m5
0.26,0.04,1,1976,6,01-Jan,1976m6
-0.17,-0.06,1,1976,7,01-Jan,1976m7
-0.13,-0.11,1,1976,8,01-Jan,1976m8
-0.07,-0.07,1,1976,9,01-Jan,1976m9
-0.15,-0.06,1,1976,10,01-Jan,1976m10
-0.12,-0.07,1,1976,11,01-Jan,1976m11
-0.45,-0.27,1,1976,12,01-Jan,1976m12
0.24,-0.02,1,1977,1,01-Apr,1977m1
0.06,0.08,1,1977,2,01-Apr,1977m2
-0.05,0.06,1,1977,3,01-Apr,1977m3
-0.07,-0.06,1,1977,4,01-Apr,1977m4
0.4,0.01,1,1977,5,01-Apr,1977m5
0.06,-0.1,1,1977,6,01-Apr,1977m6
0.14,-0.01,1,1977,7,01-Apr,1977m7
0.36,0.04,1,1977,8,01-Apr,1977m8
0.27,-0.06,1,1977,9,01-Apr,1977m9
0.42,0.12,1,1977,10,01-Apr,1977m10
-0.03,0.04,1,1977,11,01-Apr,1977m11
-0.1,0.11,1,1977,12,01-Apr,1977m12
0.39,0.22,1,1978,1,01-Jul,1978m1
0.01,0.06,1,1978,2,01-Jul,1978m2
-0.14,0,1,1978,3,01-Jul,1978m3
-0.01,0.09,1,1978,4,01-Jul,1978m4
0.12,0.13,1,1978,5,01-Jul,1978m5
0.28,0.07,1,1978,6,01-Jul,1978m6
0.37,0.12,1,1978,7,01-Jul,1978m7
-0.04,-0.19,1,1978,8,01-Jul,1978m8
0.8,0,1,1978,9,01-Aug,1978m9
0.29,0.2,1,1978,10,01-Aug,1978m10
0.66,0.14,1,1978,11,01-Aug,1978m11
0.33,0.13,1,1978,12,01-Aug,1978m12
0.23,0.09,1,1979,1,01-Nov,1979m1
-0.08,0.01,1,1979,2,01-Nov,1979m2
0.19,0.11,1,1979,3,01-Nov,1979m3
0.03,0.01,1,1979,4,01-Nov,1979m4
0.09,0.12,1,1979,5,01-Nov,1979m5
-0.53,-0.21,1,1979,6,01-Nov,1979m6
0.22,-0.09,1,1979,7,01-Nov,1979m7
0.18,0.03,1,1979,8,01-Nov,1979m8
0.73,0.21,1,1979,9,01-Nov,1979m9
1.29,0.69,1,1979,10,01-Nov,1979m10
0.4,0.63,1,1979,11,01-Nov,1979m11
0.2,-0.02,1,1979,12,01-Nov,1979m12
-0.03,0.35,1,1980,1,02-Feb,1980m1
0.78,1.29,1,1980,2,02-Feb,1980m2
2.71,0.58,1,1980,3,02-Feb,1980m3
-1.53,-0.92,1,1980,4,02-Feb,1980m4
-4.85,-1.05,1,1980,5,02-Feb,1980m5
-2.15,-0.41,1,1980,6,02-Feb,1980m6
1.13,0.49,1,1980,7,02-Feb,1980m7
1.13,0.57,1,1980,8,02-Feb,1980m8
1.06,0.38,1,1980,9,02-Feb,1980m9
1.26,0.29,1,1980,10,02-Feb,1980m10
2.31,0.66,1,1980,11,02-Feb,1980m11
1.77,0.24,1,1980,12,02-Feb,1980m12
-0.93,-0.4,1,1981,1,02-May,1981m1
0.18,0.54,1,1981,2,02-May,1981m2
-1.43,-0.02,1,1981,3,02-May,1981m3
0.15,0.55,1,1981,4,02-May,1981m4
2.66,0.44,1,1981,5,02-May,1981m5
-1.73,-0.57,1,1981,6,02-May,1981m6
0.14,0.63,1,1981,7,02-May,1981m7
0.91,0.51,1,1981,8,02-May,1981m8
-0.66,0.6,1,1981,9,02-May,1981m9
-1.08,-0.09,1,1981,10,02-May,1981m10
-2.6,-1.18,1,1981,11,02-May,1981m11
-0.34,0.01,1,1981,12,02-May,1981m12
1.48,0.95,1,1982,1,02-Aug,1982m1
1.37,0.09,1,1982,2,02-Aug,1982m2
-1.29,-0.69,1,1982,3,02-Aug,1982m3
0.33,-0.12,1,1982,4,02-Aug,1982m4
-0.67,-0.2,1,1982,5,02-Sep,1982m5
-0.04,0.55,1,1982,6,02-Sep,1982m6
-0.19,-0.2,1,1982,7,02-Sep,1982m7
-2.91,-0.9,1,1982,8,02-Sep,1982m8
-0.81,-0.77,1,1982,9,02-Sep,1982m9
-0.45,-0.82,1,1982,10,02-Sep,1982m10
0.29,-0.44,1,1982,11,02-Sep,1982m11
-0.02,0.15,1,1982,12,02-Sep,1982m12
-0.21,-0.04,1,1983,1,02-Dec,1983m1
0.32,0.22,1,1983,2,02-Dec,1983m2
0.17,-0.28,1,1983,3,02-Dec,1983m3
-0.05,-0.22,1,1983,4,02-Dec,1983m4
-0.06,-0.05,1,1983,5,02-Dec,1983m5
0.63,0.28,1,1983,6,02-Dec,1983m6
0.3,0.41,1,1983,7,02-Dec,1983m7
0.27,0.36,1,1983,8,02-Dec,1983m8
-0.34,-0.14,1,1983,9,02-Dec,1983m9
-0.34,-0.12,1,1983,10,02-Dec,1983m10
0,0.16,1,1983,11,02-Dec,1983m11
0.25,0.16,1,1983,12,02-Dec,1983m12
-0.03,-0.37,1,1984,1,03-Mar,1984m1
0.1,-0.12,1,1984,2,03-Mar,1984m2
0.05,0.49,1,1984,3,03-Mar,1984m3
0.61,0.24,1,1984,4,03-Mar,1984m4
0.21,0.47,1,1984,5,03-Mar,1984m5
0.04,0.27,1,1984,6,03-Mar,1984m6
0.19,-0.11,1,1984,7,03-Mar,1984m7
0.36,-0.57,1,1984,8,03-Mar,1984m8
-0.08,-0.21,1,1984,9,03-Mar,1984m9
-0.44,-0.03,1,1984,10,03-Mar,1984m10
-1.18,-0.34,1,1984,11,03-Mar,1984m11
-0.63,-0.16,1,1984,12,03-Mar,1984m12
-0.4,-0.05,1,1985,1,03-Jun,1985m1
0.41,0.05,1,1985,2,03-Jun,1985m2
0.4,0.43,1,1985,3,03-Jun,1985m3
-0.57,-0.33,1,1985,4,03-Jun,1985m4
-0.44,-0.51,1,1985,5,03-Jun,1985m5
-0.55,-0.78,1,1985,6,03-Jun,1985m6
0.04,0.03,1,1985,7,03-Jun,1985m7
0.13,0.08,1,1985,8,03-Jul,1985m8
-0.1,0.02,1,1985,9,03-Jul,1985m9
0.09,-0.05,1,1985,10,03-Jul,1985m10
0.03,-0.47,1,1985,11,03-Jul,1985m11
-0.13,-0.39,1,1985,12,03-Jul,1985m12
-0.03,-0.11,1,1986,1,03-Oct,1986m1
-0.01,-0.38,1,1986,2,03-Oct,1986m2
-0.44,-0.67,1,1986,3,03-Oct,1986m3
-0.53,-0.21,1,1986,4,03-Oct,1986m4
0.06,0.3,1,1986,5,03-Oct,1986m5
0.09,0.04,1,1986,6,03-Oct,1986m6
-0.37,-0.25,1,1986,7,03-Oct,1986m7
-0.27,-0.16,1,1986,8,03-Oct,1986m8
-0.38,0.17,1,1986,9,03-Oct,1986m9
-0.01,-0.03,1,1986,10,03-Oct,1986m10
0.17,-0.18,1,1986,11,03-Oct,1986m11
0.14,-0.19,1,1986,12,03-Oct,1986m12
-0.04,-0.13,1,1987,1,04-Jan,1987m1
0.14,0.02,1,1987,2,04-Jan,1987m2
-0.03,-0.02,1,1987,3,04-Jan,1987m3
0.2,0.49,1,1987,4,04-Jan,1987m4
-0.01,0.48,1,1987,5,04-Jan,1987m5
-0.06,-0.01,1,1987,6,04-Jan,1987m6
0.09,0.1,1,1987,7,04-Jan,1987m7
0.22,0.25,1,1987,8,04-Jan,1987m8
0.32,0.51,1,1987,9,04-Jan,1987m9
0.08,0.34,1,1987,10,04-Jan,1987m10
-0.59,-0.51,1,1987,11,04-Jan,1987m11
-0.01,0.1,1,1987,12,04-Jan,1987m12
0.1,-0.23,1,1988,1,04-Apr,1988m1
-0.21,-0.48,1,1988,2,04-Apr,1988m2
0,-0.01,1,1988,3,04-Apr,1988m3
0.23,0.28,1,1988,4,04-Apr,1988m4
0.35,0.23,1,1988,5,04-Apr,1988m5
0.23,-0.04,1,1988,6,04-Apr,1988m6
0.23,0.1,1,1988,7,04-Apr,1988m7
0.29,0.15,1,1988,8,04-Apr,1988m8
0.21,-0.29,1,1988,9,04-Apr,1988m9
0.11,-0.31,1,1988,10,04-Apr,1988m10
0.34,-0.06,1,1988,11,04-Apr,1988m11
0.41,0.12,1,1988,12,04-Apr,1988m12
0.2,0.05,1,1989,1,04-Jul,1989m1
0.19,0.02,1,1989,2,04-Jul,1989m2
0.35,0.16,1,1989,3,04-Jul,1989m3
-0.13,-0.01,1,1989,4,04-Jul,1989m4
-0.3,-0.22,1,1989,5,04-Aug,1989m5
-0.18,-0.47,1,1989,6,04-Aug,1989m6
-0.3,-0.17,1,1989,7,04-Aug,1989m7
-0.01,0.03,1,1989,8,04-Aug,1989m8
-0.19,0.05,1,1989,9,04-Aug,1989m9
-0.09,-0.09,1,1989,10,04-Aug,1989m10
0.02,-0.03,1,1989,11,04-Aug,1989m11
-0.01,-0.03,1,1989,12,04-Aug,1989m12
0,0.13,1,1990,1,04-Nov,1990m1
0.12,0.23,1,1990,2,04-Nov,1990m2
0.11,0.15,1,1990,3,04-Nov,1990m3
-0.09,0.09,1,1990,4,04-Nov,1990m4
0,0.01,1,1990,5,04-Nov,1990m5
-0.04,-0.21,1,1990,6,04-Nov,1990m6
-0.08,-0.02,1,1990,7,04-Nov,1990m7
-0.22,0.17,1,1990,8,04-Nov,1990m8
-0.06,0.15,1,1990,9,04-Nov,1990m9
-0.19,-0.03,1,1990,10,04-Nov,1990m10
-0.12,-0.23,1,1990,11,04-Nov,1990m11
-0.26,-0.25,1,1990,12,04-Nov,1990m12
-0.51,-0.01,1,1991,1,05-Feb,1991m1
-0.35,-0.21,1,1991,2,05-Feb,1991m2
-0.04,0.1,1,1991,3,05-Feb,1991m3
-0.24,-0.07,1,1991,4,05-Feb,1991m4
-0.16,0,1,1991,5,05-Feb,1991m5
0.09,0.15,1,1991,6,05-Feb,1991m6
-0.02,-0.01,1,1991,7,05-Feb,1991m7
-0.19,-0.25,1,1991,8,05-Feb,1991m8
-0.14,-0.14,1,1991,9,05-Feb,1991m9
-0.22,-0.06,1,1991,10,05-Feb,1991m10
-0.43,-0.07,1,1991,11,05-Feb,1991m11
-0.48,-0.17,1,1991,12,05-Feb,1991m12
-0.28,-0.11,1,1992,1,05-May,1992m1
0,0.09,1,1992,2,05-May,1992m2
0.21,0.06,1,1992,3,05-May,1992m3
-0.24,-0.02,1,1992,4,05-May,1992m4
-0.15,-0.05,1,1992,5,05-May,1992m5
0.04,-0.06,1,1992,6,05-May,1992m6
-0.42,-0.15,1,1992,7,05-May,1992m7
-0.14,-0.12,1,1992,8,05-May,1992m8
-0.17,-0.03,1,1992,9,05-Jun,1992m9
-0.13,0.07,1,1992,10,05-Jun,1992m10
0.3,0.11,1,1992,11,05-Jun,1992m11
0.11,-0.12,1,1992,12,05-Jun,1992m12
-0.19,-0.07,1,1993,1,05-Sep,1993m1
-0.11,-0.2,1,1993,2,05-Sep,1993m2
0.02,-0.13,1,1993,3,05-Sep,1993m3
-0.08,-0.12,1,1993,4,05-Sep,1993m4
0.07,-0.03,1,1993,5,05-Sep,1993m5
0.14,-0.1,1,1993,6,05-Sep,1993m6
-0.05,-0.16,1,1993,7,05-Sep,1993m7
0,-0.32,1,1993,8,05-Sep,1993m8
-0.09,-0.19,1,1993,9,05-Sep,1993m9
0.08,0.01,1,1993,10,05-Sep,1993m10
0.08,0.26,1,1993,11,05-Sep,1993m11
-0.04,0,1,1993,12,05-Sep,1993m12
-0.06,-0.01,1,1994,1,05-Dec,1994m1
0.19,0.16,1,1994,2,05-Dec,1994m2
0.31,0.4,1,1994,3,05-Dec,1994m3
0.22,0.4,1,1994,4,05-Dec,1994m4
0.45,0.11,1,1994,5,05-Dec,1994m5
-0.01,-0.02,1,1994,6,05-Dec,1994m6
0.21,0.14,1,1994,7,05-Dec,1994m7
0.11,-0.04,1,1994,8,05-Dec,1994m8
0.14,0.27,1,1994,9,05-Dec,1994m9
0.32,0.23,1,1994,10,05-Dec,1994m10
0.29,0.11,1,1994,11,05-Dec,1994m11
0.39,-0.22,1,1994,12,05-Dec,1994m12
0.17,0,1,1995,1,06-Mar,1995m1
-0.01,-0.2,1,1995,2,06-Mar,1995m2
-0.07,-0.14,1,1995,3,06-Mar,1995m3
-0.06,-0.09,1,1995,4,06-Mar,1995m4
0.03,-0.38,1,1995,5,06-Mar,1995m5
-0.2,-0.35,1,1995,6,06-Mar,1995m6
-0.03,0.11,1,1995,7,06-Mar,1995m7
-0.06,0.16,1,1995,8,06-Mar,1995m8
-0.15,-0.25,1,1995,9,06-Mar,1995m9
0.04,-0.2,1,1995,10,06-Mar,1995m10
0.05,-0.1,1,1995,11,06-Mar,1995m11
-0.19,-0.2,1,1995,12,06-Mar,1995m12
-0.14,-0.01,1,1996,1,06-Jun,1996m1
-0.15,0.18,1,1996,2,06-Jun,1996m2
0.09,0.36,1,1996,3,06-Jun,1996m3
0.03,0.15,1,1996,4,06-Jul,1996m4
0.03,0.12,1,1996,5,06-Jul,1996m5
0.09,0.09,1,1996,6,06-Jul,1996m6
0.06,-0.06,1,1996,7,06-Jul,1996m7
-0.08,-0.19,1,1996,8,06-Jul,1996m8
0.06,0.2,1,1996,9,06-Jul,1996m9
-0.14,-0.27,1,1996,10,06-Jul,1996m10
0.02,-0.29,1,1996,11,06-Jul,1996m11
-0.16,0.1,1,1996,12,06-Jul,1996m12
0.18,0.22,1,1997,1,06-Oct,1997m1
-0.05,-0.11,1,1997,2,06-Oct,1997m2
0.14,0.24,1,1997,3,06-Oct,1997m3
0.03,0.18,1,1997,4,06-Oct,1997m4
-0.04,-0.15,1,1997,5,06-Oct,1997m5
-0.21,-0.17,1,1997,6,06-Oct,1997m6
0.15,-0.27,1,1997,7,06-Oct,1997m7
0.06,0.08,1,1997,8,06-Oct,1997m8
-0.16,-0.07,1,1997,9,06-Oct,1997m9
-0.02,-0.15,1,1997,10,06-Oct,1997m10
0.2,-0.13,1,1997,11,06-Oct,1997m11
0.01,-0.11,1,1997,12,06-Oct,1997m12
-0.07,-0.15,1,1998,1,07-Jan,1998m1
0.02,0.06,1,1998,2,07-Jan,1998m2
-0.08,0.05,1,1998,3,07-Jan,1998m3
-0.03,-0.03,1,1998,4,07-Jan,1998m4
0.03,0,1,1998,5,07-Jan,1998m5
-0.04,-0.16,1,1998,6,07-Jan,1998m6
-0.03,0.02,1,1998,7,07-Jan,1998m7
-0.02,-0.03,1,1998,8,07-Jan,1998m8
-0.2,-0.12,1,1998,9,07-Jan,1998m9
-0.66,-0.03,1,1998,10,07-Jan,1998m10
0.36,0.04,1,1998,11,07-Jan,1998m11
-0.02,-0.19,1,1998,12,07-Jan,1998m12
-0.08,0.02,1,1999,1,07-Apr,1999m1
0.11,0.16,1,1999,2,07-Apr,1999m2
0.03,0.22,1,1999,3,07-Apr,1999m3
-0.2,0.02,1,1999,4,07-Apr,1999m4
0.23,0.29,1,1999,5,07-Apr,1999m5
0.08,0.3,1,1999,6,07-Apr,1999m6
0.01,-0.04,1,1999,7,07-Apr,1999m7
0.16,0.21,1,1999,8,07-May,1999m8
-0.03,-0.01,1,1999,9,07-May,1999m9
0.15,0.16,1,1999,10,07-May,1999m10
0.19,-0.19,1,1999,11,07-May,1999m11
0.16,0.19,1,1999,12,07-May,1999m12
