year,month,prccem,ipcem,prcpet,rresc,rnonc,ip,rdefs,milemp,gprc,gcem,gprcpet,gres,gnon,gip,gdefs,gmilemp,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
1964,1,,0.47425,13.4,115401,142180,44.6,,2687,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0
1964,2,,0.53123,13.4,115118,144190,45.9,1.6634,2696,,0.1134604,0,-0.0024553,0.014038,0.0287313,,0.0033439,0,1,0,0,0,0,0,0,0,0,0,0
1964,3,,0.64255,13.4,123663,145577,46.2,1.6626,2693,,0.1902496,0,0.0716024,0.0095733,0.0065147,-0.0004811,-0.0011134,0,0,1,0,0,0,0,0,0,0,0,0
1964,4,,0.82585,13.4,116178,150793,46.9,1.6626,2694,,0.2509685,0,-0.0624366,0.0352029,0.0150379,0,0.0003713,0,0,0,1,0,0,0,0,0,0,0,0
1964,5,,1.0272,13.4,111034,149259,47.1,1.661,2690,,0.2181787,0,-0.045287,-0.010225,0.0042553,-0.0009628,-0.0014859,0,0,0,0,1,0,0,0,0,0,0,0
1964,6,,1.0986,13.4,109138,154347,47.9,1.6601,2687,,0.0672,0,-0.0172233,0.0335203,0.0168426,-0.000542,-0.0011159,0,0,0,0,0,1,0,0,0,0,0,0
1964,7,,1.1071,13.4,110492,155871,45.1,1.6601,2696,,0.0077073,0,0.01233,0.0098254,-0.0602333,0,0.0033439,0,0,0,0,0,0,1,0,0,0,0,0
1964,8,,1.1434,13.4,111540,154130,46.8,1.6582,2693,,0.0322622,0,0.0094402,-0.0112323,0.037001,-0.0011451,-0.0011134,0,0,0,0,0,0,0,1,0,0,0,0
1964,9,,1.0772,13.4,108353,155359,48.7,1.6567,2690,,-0.0596411,0,-0.0289889,0.0079422,0.0397959,-0.000905,-0.0011146,0,0,0,0,0,0,0,0,1,0,0,0
1964,10,,1.1332,13.4,108173,155020,48.3,1.6567,2680,,0.0506804,0,-0.0016626,-0.0021844,-0.0082475,0,-0.0037244,0,0,0,0,0,0,0,0,0,1,0,0
1964,11,,0.82481,13.4,109273,153501,48.6,1.6537,2678,,-0.3176477,0,0.0101175,-0.0098471,0.006192,-0.0018125,-0.0007465,0,0,0,0,0,0,0,0,0,0,1,0
1964,12,287,0.54381,13.4,108518,157225,48,1.6523,2663,,-0.4165531,0,-0.0069333,0.0239708,-0.0124225,-0.0008469,-0.0056169,0,0,0,0,0,0,0,0,0,0,0,1
1965,1,287,0.51136,13.4,106624,154831,48.8,1.6523,2663,0,-0.0615261,0,-0.0176074,-0.0153437,0.0165293,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1965,2,287,0.4964,13.4,107148,157097,50.1,1.6496,2652,0,-0.0296918,0,0.0049024,0.0145292,0.0262907,-0.0016354,-0.0041392,0,1,0,0,0,0,0,0,0,0,0,0
1965,3,287,0.61759,13.4,113296,160364,51.1,1.6507,2647,0,0.2184428,0,0.0557928,0.0205828,0.0197635,0.0006666,-0.0018871,0,0,1,0,0,0,0,0,0,0,0,0
1965,4,287,0.85605,13.4,108314,162379,51.1,1.6507,2645,0,0.326504,0,-0.0449694,0.0124869,0,0,-0.0007559,0,0,0,1,0,0,0,0,0,0,0,0
1965,5,287,1.0033,13.4,105639,166701,51.5,1.6529,2641,0,0.158721,0,-0.0250068,0.0262687,0.0077973,0.0013319,-0.0015134,0,0,0,0,1,0,0,0,0,0,0,0
1965,6,287,1.1187,13.4,104673,170144,52.8,1.6535,2655,0,0.1088728,0,-0.0091864,0.0204433,0.0249294,0.0003629,0.005287,0,0,0,0,0,1,0,0,0,0,0,0
1965,7,287,1.0987,13.4,108056,168181,49.9,1.6535,2669,0,-0.0180396,0,0.0318084,-0.0116044,-0.0564901,0,0.0052592,0,0,0,0,0,0,1,0,0,0,0,0
1965,8,287,1.1772,13.4,110249,172113,51.4,1.6547,2686,0,0.069011,0,0.0200918,0.0231105,0.0296172,0.0007255,0.0063492,0,0,0,0,0,0,0,1,0,0,0,0
1965,9,287,1.0713,13.4,107759,174869,53.2,1.6579,2724,0,-0.0942658,0,-0.0228442,0.0158859,0.0344202,0.001932,0.0140483,0,0,0,0,0,0,0,0,1,0,0,0
1965,10,287,1.1491,13.4,106672,175817,54.4,1.6579,2761,0,0.0701061,0,-0.0101385,0.0054066,0.0223058,0,0.0134915,0,0,0,0,0,0,0,0,0,1,0,0
1965,11,287,0.89767,13.4,105249,177637,53.5,1.6642,2803,0,-0.2469318,0,-0.0134297,0.0102985,-0.0166825,0.0037928,0.0150973,0,0,0,0,0,0,0,0,0,0,1,0
1965,12,287,0.68832,13.4,104529,179536,52.6,1.6656,2857,0,-0.2655487,0,-0.0068644,0.0106336,-0.0169656,0.0008409,0.0190819,0,0,0,0,0,0,0,0,0,0,0,1
1966,1,288,0.50512,13.4,107228,176519,53.4,1.6656,2902,0.0034783,-0.3094578,0,0.0254929,-0.0169472,0.0150947,0,0.015628,1,0,0,0,0,0,0,0,0,0,0,0
1966,2,288,0.52882,13.4,109346,178945,54.9,1.6686,2937,0,0.0458521,0,0.0195598,0.01365,0.0277026,0.0017995,0.0119885,0,1,0,0,0,0,0,0,0,0,0,0
1966,3,288,0.78866,13.4,115215,183868,56,1.6718,2969,0,0.3996872,0,0.0522828,0.0271396,0.0198383,0.001916,0.0108365,0,0,1,0,0,0,0,0,0,0,0,0
1966,4,288,0.90032,13.4,104777,180062,55.9,1.6718,3004,0,0.132415,0,-0.0949657,-0.0209169,-0.0017873,0,0.0117195,0,0,0,1,0,0,0,0,0,0,0,0
1966,5,288,1.0085,13.4,96495,174264,56.3,1.6782,3056,0,0.1134691,0,-0.0823431,-0.0327298,0.0071301,0.0038209,0.0171621,0,0,0,0,1,0,0,0,0,0,0,0
1966,6,288,1.191,13.5,91832,177226,57.6,1.6811,3094,0,0.1663292,0.007435,-0.0495304,0.0168544,0.022828,0.0017266,0.0123579,0,0,0,0,0,1,0,0,0,0,0,0
1966,7,288,1.1061,13.5,98110,176798,54,1.6811,3136,0,-0.073953,0,0.0661285,-0.0024179,-0.0645385,0,0.0134834,0,0,0,0,0,0,1,0,0,0,0,0
1966,8,288,1.1832,13.5,100244,179945,55.9,1.6869,3184,0,0.0673824,0,0.0215179,0.0176434,0.0345804,0.0034442,0.0151902,0,0,0,0,0,0,0,1,0,0,0,0
1966,9,288,1.104,13.5,97820,182479,58.5,1.6888,3229,0,-0.0692827,0,-0.0244782,0.0139838,0.0454623,0.0011257,0.0140342,0,0,0,0,0,0,0,0,1,0,0,0
1966,10,288,1.1196,13.6,90785,177965,59.2,1.6888,3287,0,0.0140316,0.0073801,-0.074635,-0.0250482,0.0118948,0,0.0178028,0,0,0,0,0,0,0,0,0,1,0,0
1966,11,288,0.83355,13.6,86160,180413,57.6,1.6927,3326,0,-0.2950332,0,-0.052288,0.0136618,-0.027399,0.0023067,0.0117951,0,0,0,0,0,0,0,0,0,0,1,0
1966,12,288,0.58855,13.6,81495,180095,56.1,1.6965,3334,0,-0.3480318,0,-0.0556644,-0.0017642,-0.0263868,0.0022424,0.0024024,0,0,0,0,0,0,0,0,0,0,0,1
1967,1,295,0.55339,13.6,80798,185057,56.5,1.6965,3357,0.0240149,-0.0615988,0,-0.0085895,0.0271794,0.0071049,0,0.0068749,1,0,0,0,0,0,0,0,0,0,0,0
1967,2,293,0.55819,13.6,81178,184019,57.1,1.7039,3368,-0.0068027,0.0086363,0,0.0046921,-0.0056249,0.0105635,0.0043525,0.0032714,0,1,0,0,0,0,0,0,0,0,0,0
1967,3,293,0.61089,13.6,88422,180132,57,1.7045,3371,0,0.0902175,0,0.0854765,-0.0213491,-0.0017528,0.0003521,0.0008903,0,0,1,0,0,0,0,0,0,0,0,0
1967,4,293,0.85102,13.6,90230,178427,57.3,1.7045,3371,0,0.3315187,0,0.0202412,-0.0095104,0.0052493,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1967,5,292,0.953,13.6,92009,178953,56.8,1.7055,3368,-0.0034188,0.1131793,0,0.0195244,0.0029436,-0.0087643,0.0005865,-0.0008903,0,0,0,0,1,0,0,0,0,0,0,0
1967,6,292,1.0825,13.6,94516,176596,58.1,1.7063,3377,0,0.1274135,0,0.0268827,-0.0132586,0.0226293,0.000469,0.0026686,0,0,0,0,0,1,0,0,0,0,0,0
1967,7,292,1.0944,13.6,95044,177216,54.3,1.7063,3382,0,0.0109331,0,0.0055708,0.0035047,-0.0676414,0,0.0014795,0,0,0,0,0,0,1,0,0,0,0,0
1967,8,292,1.2235,13.7,96205,176091,57.3,1.7081,3393,0,0.1115093,0.007326,0.0121414,-0.0063684,0.0537764,0.0010543,0.0032472,0,0,0,0,0,0,0,1,0,0,0,0
1967,9,292,1.1417,13.7,94850,178420,58.9,1.7076,3412,0,-0.0691972,0,-0.0141846,0.0131394,0.0275405,-0.0002927,0.0055841,0,0,0,0,0,0,0,0,1,0,0,0
1967,10,292,1.1422,13.7,100435,177279,59.3,1.7076,3416,0,0.0004378,0,0.0572141,-0.0064156,0.0067682,0,0.0011716,0,0,0,0,0,0,0,0,0,1,0,0
1967,11,292,0.87391,13.7,105109,178308,59.1,1.7067,3412,0,-0.2677341,0,0.0454872,0.0057876,-0.0033784,-0.0005272,-0.0011716,0,0,0,0,0,0,0,0,0,0,1,0
1967,12,292,0.62131,13.7,106125,180103,58.1,1.7081,3398,0,-0.3411473,0,0.0096197,0.0100165,-0.0170653,0.00082,-0.0041116,0,0,0,0,0,0,0,0,0,0,0,1
1968,1,297,0.47054,13.7,101388,180926,58.2,1.7081,3427,0.0169783,-0.2779492,0,-0.0456629,0.0045592,0.0017197,0,0.0084982,1,0,0,0,0,0,0,0,0,0,0,0
1968,2,300,0.60198,13.7,98943,183833,59.7,1.7107,3440,0.0100503,0.2463432,0,-0.0244108,0.0159396,0.0254467,0.001521,0.0037862,0,1,0,0,0,0,0,0,0,0,0,0
1968,3,300,0.76337,13.7,108069,181378,60.2,1.7114,3467,0,0.2375186,0,0.088226,-0.0134445,0.0083403,0.0004091,0.0078182,0,0,1,0,0,0,0,0,0,0,0,0
1968,4,300,0.98302,13.7,107279,183703,59.9,1.7114,3494,0,0.2528867,0,-0.007337,0.0127371,-0.0049958,0,0.0077575,0,0,0,1,0,0,0,0,0,0,0,0
1968,5,300,1.025,13.7,105965,184941,60.8,1.7129,3518,0,0.0418184,0,-0.0123241,0.0067165,0.0149132,0.0008761,0.0068454,0,0,0,0,1,0,0,0,0,0,0,0
1968,6,300,1.1232,13.7,103983,179868,62.4,1.7112,3547,0,0.0914892,0,-0.0188814,-0.0278136,0.0259755,-0.000993,0.0082095,0,0,0,0,0,1,0,0,0,0,0,0
1968,7,300,1.1448,13.8,107000,177971,58.4,1.7112,3545,0,0.0190481,0.0072728,0.0286014,-0.0106026,-0.0662494,0,-0.000564,0,0,0,0,0,0,1,0,0,0,0,0
1968,8,300,1.2337,13.8,108962,181390,60.1,1.7079,3526,0,0.0747879,0,0.0181704,0.0190288,0.0286939,-0.0019303,-0.0053741,0,0,0,0,0,0,0,1,0,0,0,0
1968,9,300,1.1875,13.8,109101,185263,62.5,1.7079,3490,0,-0.0381676,0,0.0012749,0.021127,0.0391567,0,-0.0102623,0,0,0,0,0,0,0,0,1,0,0,0
1968,10,300,1.2434,13.8,108467,187246,62.8,1.7079,3454,0,0.0459993,0,-0.0058281,0.0106468,0.0047885,0,-0.0103688,0,0,0,0,0,0,0,0,0,1,0,0
1968,11,300,0.9027,13.8,107202,187406,62.5,1.7078,3433,0,-0.3202145,0,-0.0117311,0.0008541,-0.0047885,-0.0000586,-0.0060985,0,0,0,0,0,0,0,0,0,0,1,0
1968,12,300,0.64988,13.8,105181,179591,60.7,1.7059,3408,0,-0.3286026,0,-0.0190322,-0.0425953,-0.0292228,-0.0011132,-0.0073089,0,0,0,0,0,0,0,0,0,0,0,1
1969,1,309,0.52324,13.8,108352,184421,61.3,1.7059,3418,0.0295588,-0.2167475,0,0.0297025,0.0265391,0.0098361,0,0.00293,1,0,0,0,0,0,0,0,0,0,0,0
1969,2,309,0.62604,13.8,110668,178650,63.1,1.7022,3432,0,0.179374,0,0.0211495,-0.0317926,0.0289409,-0.0021712,0.0040876,0,1,0,0,0,0,0,0,0,0,0,0
1969,3,309,0.76132,14.3,115177,183043,63.9,1.7023,3452,0,0.1956395,0.0355909,0.0399353,0.0242925,0.0125986,0.0000587,0.0058106,0,0,1,0,0,0,0,0,0,0,0,0
1969,4,309,0.98932,14.5,113594,183954,63.3,1.7023,3465,0,0.2619641,0.0138891,-0.0138394,0.0049646,-0.0094341,0,0.0037589,0,0,0,1,0,0,0,0,0,0,0,0
1969,5,309,1.0985,14.5,111637,184324,63.2,1.7025,3459,0,0.1046831,0,-0.0173782,0.0020094,-0.001581,0.0001175,-0.0017331,0,0,0,0,1,0,0,0,0,0,0,0
1969,6,309,1.2114,14.5,111096,183913,65.2,1.7017,3460,0,0.0978311,0,-0.0048578,-0.0022323,0.0311551,-0.00047,0.0002891,0,0,0,0,0,1,0,0,0,0,0,0
1969,7,309,1.1545,14.5,111343,185458,61.3,1.7017,3458,0,-0.0481094,0,0.0022208,0.0083656,-0.0616796,0,-0.0005782,0,0,0,0,0,0,1,0,0,0,0,0
1969,8,309,1.2536,14.5,112101,181624,63.8,1.7002,3459,0,0.0823521,0,0.0067847,-0.0208898,0.0399733,-0.0008819,0.0002891,0,0,0,0,0,0,0,1,0,0,0,0
1969,9,309,1.2303,14.5,110235,187158,65.7,1.6996,3449,0,-0.0187614,0,-0.0167858,0.0300146,0.0293457,-0.000353,-0.0028952,0,0,0,0,0,0,0,0,1,0,0,0
1969,10,309,1.1948,14.5,105135,179759,65.7,1.6996,3387,0,-0.0292792,0,-0.0473692,-0.0403361,0,0,-0.0181398,0,0,0,0,0,0,0,0,0,1,0,0
1969,11,309,0.98034,14.5,101329,179566,63.8,1.6985,3351,0,-0.1978346,0,-0.0368726,-0.0010742,-0.0293457,-0.0006474,-0.0106858,0,0,0,0,0,0,0,0,0,0,1,0
1969,12,309,0.69093,14.5,97137,175159,61.6,1.6955,3298,0,-0.3498609,0,-0.0422503,-0.0248487,-0.0350913,-0.0017678,-0.0159426,0,0,0,0,0,0,0,0,0,0,0,1
1970,1,323,0.47705,14.5,98527,173603,60.7,1.6955,3255,0.044311,-0.3704172,0,0.0142083,-0.0089231,-0.0147181,0,-0.0131239,1,0,0,0,0,0,0,0,0,0,0,0
1970,2,323,0.62926,14.5,102163,174343,62.2,1.6897,3220,0,0.2769232,0,0.036239,0.0042535,0.0244113,-0.0034267,-0.0108109,0,1,0,0,0,0,0,0,0,0,0,0
1970,3,323,0.73452,14.5,106289,176258,62.4,1.6866,3173,0,0.1546727,0,0.0395922,0.0109242,0.0032103,-0.0018364,-0.0147038,0,0,1,0,0,0,0,0,0,0,0,0
1970,4,323,0.93977,14.5,99428,172371,61.9,1.6866,3116,0,0.2464179,0,-0.066728,-0.0222997,-0.0080451,0,-0.0181274,0,0,0,1,0,0,0,0,0,0,0,0
1970,5,324,1.0611,14.5,95727,173051,62,1.6803,3084,0.0030912,0.1214262,0,-0.0379334,0.0039372,0.0016142,-0.0037423,-0.0103227,0,0,0,0,1,0,0,0,0,0,0,0
1970,6,324,1.1336,14.5,92394,175316,63.2,1.6794,3066,0,0.0660923,0,-0.0354383,0.0130037,0.0191699,-0.0005358,-0.0058537,0,0,0,0,0,1,0,0,0,0,0,0
1970,7,324,1.1553,14.3,97457,178430,59.5,1.6794,3045,0,0.0189617,-0.0138891,0.0533492,0.0176063,-0.060328,0,-0.0068729,0,0,0,0,0,0,1,0,0,0,0,0
1970,8,324,1.214,14.3,101219,178090,61.5,1.6776,3020,0,0.0495606,0,0.0378752,-0.0019073,0.0330609,-0.0010724,-0.0082441,0,0,0,0,0,0,0,1,0,0,0,0
1970,9,324,1.0896,14.3,102434,175405,62.9,1.6767,2984,0,-0.1081101,0,0.0119322,-0.0151915,0.022509,-0.0005366,-0.0119921,0,0,0,0,0,0,0,0,1,0,0,0
1970,10,324,1.0947,14.3,107156,172690,61.4,1.6767,2946,0,0.0046697,0,0.045067,-0.0155995,-0.0241363,0,-0.0128164,0,0,0,0,0,0,0,0,0,1,0,0
1970,11,324,0.88968,14.3,111889,175378,59.8,1.6748,2917,0,-0.2073737,0,0.0432216,0.0154456,-0.0264042,-0.0011338,-0.0098926,0,0,0,0,0,0,0,0,0,0,1,0
1970,12,324,0.60883,15.4,115276,178084,59.2,1.6723,2874,0,-0.3793228,0.0741079,0.0298219,0.0153117,-0.0100841,-0.0014939,-0.0148509,0,0,0,0,0,0,0,0,0,0,0,1
1971,1,340,0.50405,15.6,116071,174541,60,1.6723,2861,0.0482021,-0.1888635,0.0129035,0.0068728,-0.0200957,0.013423,0,-0.0045336,1,0,0,0,0,0,0,0,0,0,0,0
1971,2,343,0.60452,15.6,114012,173494,61.5,1.6675,2840,0.0087848,0.1817593,0,-0.0178984,-0.0060167,0.0246926,-0.0028744,-0.0073672,0,1,0,0,0,0,0,0,0,0,0,0
1971,3,361,0.77598,15.6,119482,173273,61.6,1.6652,2802,0.0511475,0.2496919,0,0.046862,-0.0012746,0.0016247,-0.0013803,-0.0134706,0,0,1,0,0,0,0,0,0,0,0,0
1971,4,361,1.0332,15.6,125515,175802,61.7,1.6652,2770,0,0.2862893,0,0.0492595,0.01449,0.0016221,0,-0.0114861,0,0,0,1,0,0,0,0,0,0,0,0
1971,5,361,1.1015,15.6,130076,173139,62.2,1.6606,2737,0,0.0640121,0,0.0356936,-0.0152636,0.0080711,-0.0027663,-0.0119849,0,0,0,0,1,0,0,0,0,0,0,0
1971,6,361,1.2606,15.6,132080,172172,63.8,1.659,2715,0,0.1349149,0,0.0152889,-0.0056008,0.0253982,-0.0009639,-0.0080705,0,0,0,0,0,1,0,0,0,0,0,0
1971,7,371,1.1807,15.6,133982,176340,59.7,1.659,2685,0.0273241,-0.0654803,0,0.0142977,0.02392,-0.0664211,0,-0.0111112,0,0,0,0,0,0,1,0,0,0,0,0
1971,8,374,1.2889,15.6,133805,170028,61.7,1.6555,2657,0.0080537,0.0876817,0,-0.0013219,-0.0364508,0.0329519,-0.0021119,-0.0104831,0,0,0,0,0,0,0,1,0,0,0,0
1971,9,374,1.2169,15.6,135012,169374,64.5,1.6547,2627,0,-0.0574825,0,0.0089801,-0.0038538,0.0443813,-0.0004834,-0.0113552,0,0,0,0,0,0,0,0,1,0,0,0
1971,10,374,1.256,15.6,137248,171807,64.8,1.6547,2608,0,0.0316255,0,0.0164258,0.0142625,0.0046404,0,-0.0072589,0,0,0,0,0,0,0,0,0,1,0,0
1971,11,374,1.0267,15.6,138468,171423,63.6,1.6529,2579,0,-0.2015823,0,0.0088497,-0.0022376,-0.0186922,-0.0010884,-0.0111819,0,0,0,0,0,0,0,0,0,0,1,0
1971,12,374,0.71855,15.6,140115,169033,61.9,1.655,2519,0,-0.3568698,0,0.0118243,-0.0140402,-0.0270932,0.0012697,-0.0235397,0,0,0,0,0,0,0,0,0,0,0,1
1972,1,374,0.59444,15.4,143896,174678,63.8,1.655,2462,0,-0.1896156,-0.0129035,0.0266273,0.0328503,0.030233,0,-0.022888,1,0,0,0,0,0,0,0,0,0,0,0
1972,2,375,0.74802,15.4,146157,165659,66.2,1.6594,2426,0.0026702,0.22981,0,0.0155906,-0.0530128,0.0369272,0.0026551,-0.0147302,0,1,0,0,0,0,0,0,0,0,0,0
1972,3,375,0.88344,15.4,153866,171957,66.8,1.659,2385,0,0.1663937,0,0.0514007,0.037313,0.0090227,-0.000241,-0.0170447,0,0,1,0,0,0,0,0,0,0,0,0
1972,4,385,1.0543,15.4,153779,168528,68,1.659,2341,0.0263173,0.1768089,0,-0.0005656,-0.0201425,0.0178046,0,-0.0186209,0,0,0,1,0,0,0,0,0,0,0,0
1972,5,386,1.1578,15.4,153213,169942,67.6,1.6584,2319,0.002594,0.0936446,0,-0.0036874,0.0083553,-0.0058997,-0.0003617,-0.0094421,0,0,0,0,1,0,0,0,0,0,0,0
1972,6,386,1.2862,15.4,152635,171232,69.5,1.6553,2323,0,0.1051706,0,-0.0037797,0.0075622,0.0277188,-0.001871,0.0017234,0,0,0,0,0,1,0,0,0,0,0,0
1972,7,386,1.2345,15.4,151779,168476,65,1.6553,2332,0,-0.0410261,0,-0.0056239,-0.0162261,-0.0669395,0,0.0038668,0,0,0,0,0,0,1,0,0,0,0,0
1972,8,392,1.3828,15.6,151363,169912,68.7,1.6491,2344,0.0154245,0.1134443,0.0129035,-0.0027446,0.0084873,0.0553619,-0.0037526,0.0051326,0,0,0,0,0,0,0,1,0,0,0,0
1972,9,393,1.2959,15.6,152864,171537,71.4,1.6474,2356,0.0025478,-0.064905,0,0.0098677,0.0095183,0.0385487,-0.0010314,0.0051064,0,0,0,0,0,0,0,0,1,0,0,0
1972,10,393,1.315,15.6,154304,173342,72.1,1.6474,2371,0,0.0146313,0,0.009376,0.0104675,0.0097561,0,0.0063465,0,0,0,0,0,0,0,0,0,1,0,0
1972,11,393,0.94786,15.6,156550,170391,71.2,1.6441,2370,0,-0.3273852,0,0.0144508,-0.0171707,-0.0125612,-0.0020052,-0.0004219,0,0,0,0,0,0,0,0,0,0,1,0
1972,12,393,0.70313,15.6,156101,175248,69.1,1.6451,2348,0,-0.298665,0,-0.0028722,0.0281063,-0.0299381,0.0006081,-0.0093261,0,0,0,0,0,0,0,0,0,0,0,1
