year,qty,price,inc,curadv,aveadv,rev,pop,cpi,logqt,logpt,logrit,logac,logap
1910,0.187,2.620321,836,0.1383,0.0097,0.49,91.5,39.5,-1.676647,0.9632968,6.728629,-1.97833,-4.635629
1911,0.218,2.866972,798,0.4344,0.0235,0.625,93.2,41,-1.52326,1.053257,6.682108,-0.8337895,-3.750755
1912,0.2,2.915,802,0.3092,0.0669,0.583,94.7,42,-1.609438,1.06987,6.687109,-1.173767,-2.704556
1913,0.135,3.4,827,0.1806,0.0979,0.459,96.4,42.5,-2.002481,1.223775,6.717805,-1.711471,-2.323809
1914,0.259,2.343629,832,0.557,0.1159,0.607,98.2,42.6,-1.350927,0.8517007,6.723833,-0.5851901,-2.155028
1915,0.247,2.534413,830,0.621,0.1716,0.626,99.9,43.2,-1.398367,0.929962,6.721426,-0.4764242,-1.762589
1916,0.227,3.303965,892,0.5435,0.2337,0.75,101.3,44.5,-1.482805,1.195123,6.793466,-0.6097256,-1.453717
1917,0.258,2.631783,925,0.6136,0.2881,0.679,102.7,50.3,-1.354796,0.9676616,6.829794,-0.488412,-1.244448
1918,0.114,5.842105,901,0.2204,0.3494,0.666,104,58.9,-2.171557,1.765091,6.803505,-1.512311,-1.051538
1919,0.227,4.022027,858,0.3759,0.3694,0.913,104.8,69.3,-1.482805,1.391786,6.754604,-0.9784321,-0.9958752
1920,0.226,3.792035,816,0.3587,0.3994,0.857,105.7,81.5,-1.48722,1.332903,6.704414,-1.025269,-0.9177918
1921,0.299,2.217391,701,0.6427,0.4214,0.663,107.6,81.7,-1.207312,0.7963314,6.552508,-0.4420772,-0.8641728
1922,0.197,3.979695,692,0.3409,0.4423,0.784,109.4,73.2,-1.624552,1.381205,6.539586,-1.076166,-0.8157669
1923,0.28,2.682143,814,0.7334,0.4454,0.751,111.1,71.8,-1.272966,0.9866161,6.701961,-0.310064,-0.8087825
1924,0.327,1.923547,848,0.8155,0.5007,0.629,113.1,73.4,-1.117795,0.6541711,6.742881,-0.2039539,-0.6917481
1925,0.249,3.86747,834,0.6085,0.5266,0.963,115,73.6,-1.390302,1.352601,6.726233,-0.4967584,-0.641314
1926,0.286,3.391608,854,0.7184,0.5253,0.97,116.7,76.1,-1.251763,1.221304,6.749931,-0.3307288,-0.6437858
1927,0.322,3.378882,866,0.8453,0.5428,1.088,118.3,74.8,-1.133204,1.217545,6.763885,-0.1680637,-0.6110144
1928,0.259,5.073359,873,0.8948,0.566,1.314,119.8,73.6,-1.350927,1.624003,6.771935,-0.111155,-0.5691612
1929,0.444,2.227478,917,1.3657,0.6334,0.989,121.2,73.1,-0.8119307,0.8008698,6.821107,0.3116671,-0.4566531
1930,0.243,5.012346,903,0.8096,0.7324,1.218,122.5,73.2,-1.414694,1.611904,6.805723,-0.211215,-0.3114285
1931,0.417,2.021583,820,1.8337,0.7775,0.843,123.6,68.3,-0.8746691,0.7038807,6.709304,0.6063358,-0.2516716
1932,0.373,2.013405,726,1.2544,0.8966,0.751,124.5,61.6,-0.9861768,0.6998273,6.58755,0.2266574,-0.1091454
1933,0.387,1.583979,636,1.1665,0.9879,0.613,125.2,55.6,-0.9493306,0.4599403,6.455199,0.1540078,-0.0121738
1934,0.341,2.507331,700,1.4092,1.0312,0.855,126,56.6,-1.075873,0.919219,6.55108,0.3430222,0.0307232
1935,0.463,2.010799,745,1.9728,1.0906,0.931,126.9,58,-0.7700282,0.6985322,6.613384,0.6794538,0.086728
1936,0.374,2.622995,824,1.3354,1.227,0.981,127.7,58.7,-0.9834995,0.9643167,6.71417,0.2892309,0.2045722
1937,0.37,3.051351,902,1.2751,1.2887,1.129,128.5,60.3,-0.9942523,1.115585,6.804615,0.2430246,0.2536339
1938,0.526,1.353612,857,2.2123,1.3317,0.712,129.4,61.2,-0.6424541,0.3027767,6.753438,0.7940327,0.2864563
1939,0.521,1.307102,868,1.5325,1.4635,0.681,130.4,59.7,-0.6520053,0.2678123,6.766191,0.4269004,0.3808308
1940,0.52,1.584615,927,2.0202,1.4802,0.824,131.5,59.7,-0.6539265,0.4603417,6.831954,0.7031965,0.3921772
1941,0.584,1.996575,1031,2.4856,1.6012,1.166,132.8,60.5,-0.5378543,0.6914334,6.938284,0.9105141,0.4707533
1942,0.583,2.361921,1157,2.4783,1.6664,1.377,134.2,66.6,-0.5395681,0.8594753,7.053586,0.9075729,0.5106656
1943,0.592,3.491554,1322,1.3343,1.7888,2.067,135.9,72.3,-0.5242487,1.250347,7.186901,0.2884068,0.581545
1944,0.703,3.576102,1363,1.7287,1.8056,2.514,137.7,74.4,-0.3523984,1.274274,7.217443,0.5473697,0.590893
1945,0.726,3.559229,1419,1.7502,1.8375,2.584,139.2,76.1,-0.3202053,1.269544,7.257708,0.5597301,0.6084059
1946,0.657,3.809741,1389,2.3292,1.8153,2.503,140.7,77.9,-0.4200713,1.337561,7.23634,0.8455248,0.5962508
1947,0.734,1.66485,1278,2.1186,1.9146,1.222,142.8,90.8,-0.3092462,0.5097351,7.153052,0.7507555,0.6495087
1948,0.705,1.300709,1236,1.7493,1.999,0.917,145.5,99.6,-0.3495575,0.2629097,7.119636,0.5592157,0.692647
1949,0.634,1.698738,1261,1.4608,1.9527,1.077,148,103.1,-0.4557063,0.5298857,7.13966,0.3789842,0.6692131
1950,0.656,2.221037,1280,1.4789,1.9455,1.457,150.6,101.2,-0.4215945,0.797974,7.154615,0.3912986,0.665519
1951,0.726,1.847107,1329,1.4918,1.8914,1.341,153.1,107.4,-0.3202053,0.6136209,7.192182,0.3999834,0.6373173
1952,0.743,1.317631,1329,2.0569,1.792,0.979,155.8,112.4,-0.2970592,0.2758356,7.192182,0.7212,0.5833323
1953,0.74,1.494595,1370,2.0008,1.7499,1.106,158.4,114,-0.3011051,0.401855,7.222566,0.6935471,0.5595586
1954,0.76,1.673684,1372,1.798,1.8165,1.272,161.1,115,-0.2744368,0.5150273,7.224025,0.5866749,0.5969115
1955,0.771,1.695201,1403,2.193,1.8235,1.307,164,114.5,-0.2600669,0.5278013,7.246368,0.7852705,0.6007577
1956,0.767,2.095176,1482,1.9494,1.8677,1.607,166.8,114.9,-0.2652685,0.7396376,7.301148,0.6675217,0.6247077
1957,0.751,1.762983,1501,2.0635,1.8298,1.324,169.8,118.3,-0.2863496,0.5670071,7.313887,0.7244036,0.6042067
1958,0.606,2.506601,1475,1.9575,1.8242,1.519,172.7,122.2,-0.5008753,0.9189275,7.296413,0.6716682,0.6011415
1959,0.711,2.586498,1502,2.7034,1.8451,1.839,175.6,123.8,-0.3410828,0.9503048,7.314553,0.9945102,0.6125335
