obs,CPI,D1,D2,D3,D4,D4DLM1NSA,DDNSA,DLM1,DLM1NSA,DLPPI,DLPPIF,GDP,M1NSA,M3,PPI,SEARMA114,SEARMA11,RESID02,RESID01,RESID
1960Q1,19.28,0.75,-0.25,-0.25,-0.25,,111.672,,,,,2391,140.5326691,692,25.4008,,,,,
1960Q2,19.3993,-0.25,0.75,-0.25,-0.25,,109.47,-0.01507759,-0.01507759,0.001404481,0.001404481,2379.2,138.4296722,701.6,25.4365,,,,,
1960Q3,19.4496,-0.25,-0.25,0.75,-0.25,,110.3273315,0.008409264,0.008409264,-0.002810937,-0.002810937,2383.6,139.5986633,709.5,25.3651,,,,,-0.005070263
1960Q4,19.5563,-0.25,-0.25,-0.25,0.75,,113.226,0.021837393,0.021837393,0.001406456,0.001406456,2352.9,142.6806641,722.1,25.4008,,,,,0.00050028
1961Q1,19.5689,0.75,-0.25,-0.25,-0.25,,113.404,-0.00322216,-0.00322216,0.003509472,0.003509472,2366.5,142.2216644,726.2,25.4901,,,,,0.001349659
1961Q2,19.5752,-0.25,0.75,-0.25,-0.25,0.009000521,112.475,-0.006077069,-0.006077069,-0.00985218,-0.00985218,2410.8,141.36,735.3,25.2402,,,,,-0.013141475
1961Q3,19.6757,-0.25,-0.25,0.75,-0.25,-0.003805207,112.6183319,0.004604057,0.004604057,0,0,2450.4,142.0123291,748.2,25.2402,,,-0.001191384,0.002567009,0.003253569
1961Q4,19.7008,-0.25,-0.25,-0.25,0.75,0.010065646,116.708,0.03190304,0.03190304,0.001413411,0.001413411,2500.4,146.616,764.7,25.2759,,,0.008988019,0.005639136,0.000785174
1962Q1,19.7385,0.75,-0.25,-0.25,-0.25,0.001469998,116.7613297,-0.001752162,-0.001752162,0.005633751,0.005633751,2544,146.3593292,772.8,25.4187,,,-0.001764656,0.003046869,0.003070481
1962Q2,19.8264,-0.25,0.75,-0.25,-0.25,-0.000854556,115.381,-0.006931625,-0.006931625,-0.005281699,-0.005281699,2571.5,145.3483276,786.9,25.2848,,,-0.011816712,-0.009058672,-0.006381982
1962Q3,19.9143,-0.25,-0.25,0.75,-0.25,-0.007226442,114.4853287,-0.002622385,-0.002622385,0.004927566,0.004927566,2596.8,144.9676666,798.8,25.4097,,,-0.004748862,0.003283967,0.004621518
1962Q4,19.9583,-0.25,-0.25,-0.25,0.75,-0.002956346,118.2896729,0.028946694,0.028946694,-0.001405963,-0.001405963,2603.3,149.2253265,817.3,25.374,,,0.006136667,-9.92E-05,-0.00524804
1963Q1,19.9897,0.75,-0.25,-0.25,-0.25,0.003789551,118.7566681,0.002037389,0.002037389,-0.003521603,-0.003521603,2634.1,149.5296631,826.9,25.2848,,,0.00229964,-0.005406149,-0.006231277
1963Q2,20.0336,-0.25,0.75,-0.25,-0.25,0.002393815,117.5336685,-0.00453781,-0.00453781,-0.001765463,-0.001765463,2668.4,148.8526764,841.3,25.2402,,,-0.01189007,-0.0016319,-0.000737788
1963Q3,20.1781,-0.25,-0.25,0.75,-0.25,0.011138104,118.020668,0.008515718,0.008515718,0.003879123,0.003879123,2719.6,150.1256714,852.5,25.3383,,,0.008013557,0.001047263,0.002293153
1963Q4,20.2346,-0.25,-0.25,-0.25,0.75,0.00426508,122.376,0.033211775,0.033211775,0.000706191,0.000706191,2739.4,155.1953278,872,25.3562,,,0.003648856,0.004786605,-0.001448028
1964Q1,20.2848,0.75,-0.25,-0.25,-0.25,-0.003623746,122.281,-0.001586357,-0.001586357,0.001406949,0.001406949,2800.5,154.9493256,883.1,25.3919,,,-0.002187809,-0.002510918,0.000723998
1964Q2,20.3225,-0.25,0.75,-0.25,-0.25,-0.00201257,120.6563263,-0.00655038,-0.00655038,-0.004934987,-0.004934987,2833.8,153.9376678,899.2,25.2669,,,-0.011573733,-0.009533098,-0.006958429
1964Q3,20.4104,-0.25,-0.25,0.75,-0.25,0.006421501,122.1566696,0.01493722,0.01493722,0.003176977,0.003176977,2872,156.2543335,913.4,25.3473,,,0.009401751,0.00193255,0.00271385
1964Q4,20.4732,-0.25,-0.25,-0.25,0.75,0.00314231,127.2926712,0.036354084,0.036354084,0.002812908,0.002812908,2879.5,162.0393372,935.3,25.4187,,,0.004024597,0.006864225,0.000274377
1965Q1,20.5138,0.75,-0.25,-0.25,-0.25,0.000200981,127.288,-0.001385376,-0.001385376,0.004553188,0.004553188,2950.1,161.815,949.3,25.5347,,,-0.001439888,-0.001595314,0.001009537
1965Q2,20.6598,-0.25,0.75,-0.25,-0.25,-0.000982354,125.6776733,-0.007532734,-0.007532734,0.010084211,0.010084211,2989.9,160.6006775,965.7,25.7935,,,-0.013444498,0.004395207,0.007536971
1965Q3,20.7548,-0.25,-0.25,0.75,-0.25,-0.004288498,126.4886703,0.010648722,0.010648722,0.007242979,0.007242979,3050.7,162.32,978.7,25.981,,,0.007165872,-0.00149282,2.62E-05
1965Q4,20.8424,-0.25,-0.25,-0.25,0.75,0.004678831,132.3293304,0.041032914,0.041032914,0.005821902,0.005821902,3123.6,169.119,1002.1,26.1327,,,0.01079773,0.005397803,-0.000842786
1966Q1,21.0104,0.75,-0.25,-0.25,-0.25,0.008902038,133.662,0.007516662,0.007516662,0.014915361,0.014915361,3201.1,170.395,1017.5,26.5254,,,0.006618502,0.005647802,0.00882684
1966Q2,21.2222,-0.25,0.75,-0.25,-0.25,0.006005703,132.8206635,-0.001527032,-0.001527032,0.004363632,0.004363632,3213.2,170.135,1036.2,26.6414,,,-0.008112284,-0.009227115,-0.007221311
1966Q3,21.4266,-0.25,-0.25,0.75,-0.25,-0.014191417,131.336,-0.003542695,-0.003542695,0.010663104,0.010663104,3233.6,169.5333252,1049.2,26.927,,,-0.012958105,0.002275479,0.004072276
1966Q4,21.5873,-0.25,-0.25,-0.25,0.75,-0.016265454,134.934,0.02476746,0.02476746,-0.006651103,-0.006651103,3261.8,173.784668,1069.1,26.7485,,,-0.001218447,-0.011591696,-0.014321652
1967Q1,21.6311,0.75,-0.25,-0.25,-0.25,-0.008027022,134.9793243,-0.000510359,-0.000510359,-0.000332784,-0.000332784,3291.8,173.696,1080.3,26.7396,,,-0.003707672,-0.003267589,-0.003382201
1967Q2,21.7772,-0.25,0.75,-0.25,-0.25,0.00446274,135.0146637,0.002935708,0.002935708,-0.001669331,-0.001669331,3289.7,174.206665,1093,26.695,,,-0.005951717,-0.00358059,-0.001894464
1967Q3,22.0109,-0.25,-0.25,0.75,-0.25,0.02537037,138.0416718,0.021827674,0.021827674,0.004335969,0.004335969,3313.5,178.051,1112.5,26.811,,,0.016296856,0.00262172,0.002499096
1967Q4,22.1934,-0.25,-0.25,-0.25,0.75,0.01201088,143.869,0.03677834,0.03677834,0.001993461,0.001993461,3338.3,184.7213287,1143.3,26.8645,,,0.003095958,0.006084485,0.001972361
1968Q1,22.4271,0.75,-0.25,-0.25,-0.25,0.003242312,144.3503265,0.002731953,0.002731953,0.013531956,0.013531956,3406.2,185.2266693,1161.9,27.2305,,,0.002587968,0.00578678,0.012142261
1968Q2,22.6827,-0.25,0.75,-0.25,-0.25,0.004967367,144.992,0.007903075,0.007903075,0.006205345,0.006205345,3464.8,186.6963348,1182.5,27.4,,,-0.001489612,-0.00402186,-0.000954633
1968Q3,22.9602,-0.25,-0.25,0.75,-0.25,-0.002229481,147.5123291,0.019598192,0.019598192,0.00390114,0.00390114,3489.2,190.3913269,1205.4,27.5071,,,0.006100422,-0.003933389,-0.002887679
1968Q4,23.2378,-0.25,-0.25,-0.25,0.75,0.003490711,154.2983246,0.04026905,0.04026905,0.005177958,0.005177958,3504.1,198.2146759,1234.6,27.6499,,,0.006837398,0.002849523,-0.000370062
1969Q1,23.5007,0.75,-0.25,-0.25,-0.25,0.004423138,155.7573242,0.007155091,0.007155091,0.015057904,0.015057904,3558.3,199.638,1252.4,28.0694,,,0.002919022,0.003732695,0.006617266
1969Q2,23.9096,-0.25,0.75,-0.25,-0.25,-0.00774445,155.028,0.000158625,0.000158625,0.012954833,0.012954833,3567.6,199.6696625,1273.5,28.4354,,,-0.014883315,0.001197616,0.002889923
1969Q3,24.2529,-0.25,-0.25,0.75,-0.25,-0.014903159,154.834671,0.004695034,0.004695034,0.007504634,0.007504634,3588.3,200.6093292,1294.8,28.6496,,,-0.00478314,-0.004786175,-0.001599188
1969Q4,24.5888,-0.25,-0.25,-0.25,0.75,-0.01492125,158.9996643,0.0253478,0.0253478,0.009608277,0.009608277,3571.4,205.7593231,1324.5,28.9262,,,-0.003461316,0.004909929,0.002466737
1970Q1,24.9539,0.75,-0.25,-0.25,-0.25,-0.00852817,158.915329,-0.001373079,-0.001373079,0.014701504,0.014701504,3566.5,205.477,615.7,29.3546,,,0.000348158,0.001961887,0.005356516
1970Q2,25.3556,-0.25,0.75,-0.25,-0.25,0.00438304,158.722,0.004541665,0.004541665,0.004551094,0.004551094,3573.9,206.412323,629,29.4885,,,-0.003256441,-0.00668242,-0.006633385
1970Q3,25.6404,-0.25,-0.25,0.75,-0.25,0.007554479,160.0986633,0.012249513,0.012249513,0.005734919,0.005734919,3605.2,208.9563293,652.7,29.6581,,,0.004052198,-0.001179393,-0.00039335
1970Q4,25.9763,-0.25,-0.25,-0.25,0.75,0.006104806,165.924,0.031452607,0.031452607,0.001502675,0.001502675,3566.5,215.633,678.2,29.7027,,,0.004273397,-0.001786042,-0.004782061
1971Q1,26.1735,0.75,-0.25,-0.25,-0.25,0.007773969,167.2496643,0.00640089,0.00640089,0.014615242,0.014615242,3666.1,217.0176697,706.3,30.14,,,0.004028844,0.006690499,0.00935124
1971Q2,26.4729,-0.25,0.75,-0.25,-0.25,0.013717685,169.892334,0.01825935,0.01825935,0.011775125,0.011775125,3686.2,221.0166626,732.1,30.497,,,0.004808193,0.002515617,0.004304141
1971Q3,26.7358,-0.25,-0.25,0.75,-0.25,0.004124232,172.0126648,0.016373744,0.016373744,0.007871356,0.007871356,3714.5,224.665329,750,30.738,,,0.002527554,-0.002300015,-0.000648172
1971Q4,26.8819,-0.25,-0.25,-0.25,0.75,-0.008092436,176.5596771,0.02336017,0.02336017,0.000871505,0.000871505,3723.8,229.9753265,776.6,30.7648,,,-0.006380939,-0.005724926,-0.005095354
1972Q1,27.0937,0.75,-0.25,-0.25,-0.25,0.001861425,178.546,0.008262315,0.008262315,0.018112358,0.018112358,3796.9,231.8833313,800.5,31.3271,,,0.007365742,0.007047797,0.012153902
1972Q2,27.3128,-0.25,0.75,-0.25,-0.25,-0.004642994,180.4573364,0.013616356,0.013616356,0.009922802,0.009922802,3883.8,235.0623322,827,31.6395,,,-0.005364937,-0.000728716,-0.002151932
1972Q3,27.5611,-0.25,-0.25,0.75,-0.25,0.004088038,183.95,0.020461783,0.020461783,0.014839022,0.014839022,3922.3,239.9216766,854.8,32.1125,,,0.007291266,0.004301839,0.005884356
1972Q4,27.8094,-0.25,-0.25,-0.25,0.75,0.015191564,191.8536682,0.038551733,0.038551733,0.010504386,0.010504386,3990.5,249.3516693,886.2,32.4516,,,0.010328489,0.001867971,0.001484581
1973Q1,28.1964,0.75,-0.25,-0.25,-0.25,-0.000863853,193.4543304,0.007398461,0.007398461,0.04727232,0.04727232,4092.3,251.2033234,914.7,34.0225,,,0.002301217,0.031323746,0.03554258
1973Q2,28.8172,-0.25,0.75,-0.25,-0.25,-0.003641168,194.087,0.009975187,0.009975187,0.04738885,0.04738885,4133.3,253.7216644,943.5,35.6736,,,-7.60E-05,0.019185033,0.022780769
1973Q3,29.4525,-0.25,-0.25,0.75,-0.25,-0.008638371,195.6696625,0.011823411,0.011823411,0.040210936,0.040210936,4117,256.7393188,965,37.1373,,,0.005116681,0.007598191,0.00977902
1973Q4,30.139,-0.25,-0.25,-0.25,0.75,-0.011731423,201.2913361,0.02682031,0.02682031,0.008614467,0.008614467,4151.1,263.7183228,985.2,37.4586,,,0.003548596,-0.020172955,-0.019198243
1974Q1,30.9861,0.75,-0.25,-0.25,-0.25,-0.004850995,201.409668,0.002547466,0.002547466,0.064137,0.064137,4119.3,264.391,1010,39.9398,,,0.002882465,0.03791118,0.041712716
1974Q2,31.8625,-0.25,0.75,-0.25,-0.25,-0.001331082,201.4976654,0.008644106,0.008644106,0.034914315,0.034914315,4130.4,266.6863403,1040.4,41.3589,,,0.000861195,-0.005461704,-0.006613126
1974Q3,32.8337,-0.25,-0.25,0.75,-0.25,-0.002054507,202.3726654,0.009768904,0.009768904,0.06858868,0.06858868,4084.5,269.3043213,1052.6,44.2952,,,-0.004307066,0.040274233,0.03772912
1974Q4,33.7904,-0.25,-0.25,-0.25,0.75,-0.000701148,207.4373322,0.026119163,0.026119163,0.03426548,0.03426548,4062,276.431,1070.8,45.8393,,,0.010135113,-0.005480172,-0.000463711
1975Q1,34.4039,0.75,-0.25,-0.25,-0.25,-0.012234981,204.31633,-0.009687515,-0.009687515,-0.000194175,-0.000194175,4010,273.766,1088.7,45.8304,,,-0.003445538,-0.0409297,-0.03730088
1975Q2,34.9443,-0.25,0.75,-0.25,-0.25,0.007186366,206.405,0.015830472,0.015830472,0.010652114,0.010652114,4045.2,278.1343384,1121.2,46.3212,,,-0.002001905,-0.004966715,0.000563196
1975Q3,35.6892,-0.25,-0.25,0.75,-0.25,0.010359064,209.7736664,0.02012797,0.02012797,0.02116211,0.02116211,4115.4,283.7893372,1144.5,47.3119,,,0.002219177,0.004224099,0.002296301
1975Q4,36.2588,-0.25,-0.25,-0.25,0.75,-0.004306042,214.2713318,0.021813123,0.021813123,0.010696751,0.010696751,4167.2,290.0476685,1173.3,47.8207,,,-0.018477367,0.001360711,-0.005089177
1976Q1,36.6093,0.75,-0.25,-0.25,-0.25,0.005100729,212.284668,-0.004586786,-0.004586786,0.005024921,0.005024921,4266.1,288.7203369,1202.1,48.0616,,,-0.004335512,-0.007325348,0.004386425
1976Q2,37.0621,-0.25,0.75,-0.25,-0.25,0.003439792,214.5763245,0.019270264,0.019270264,0.014564182,0.014564182,4301.5,294.338,1237.9,48.7667,,,0.00669794,0.005804256,0.010644636
1976Q3,37.6536,-0.25,-0.25,0.75,-0.25,-0.007676004,215.5713348,0.012451964,0.012451964,0.012007584,0.012007584,4321.9,298.026,1266.8,49.3558,,,-0.003378329,0.000279936,0.00257575
1976Q4,38.0772,-0.25,-0.25,-0.25,0.75,0.01011518,223.0303345,0.0319283,0.0319283,0.008999857,0.008999857,4357.4,307.695,1313.6,49.802,,,0.005674213,0.000735982,0.001067566
1977Q1,38.7491,0.75,-0.25,-0.25,-0.25,0.008471623,223.4243317,0.003884838,0.003884838,0.02180385,0.02180385,4410.5,308.8926697,1345.2,50.8998,,,0.001926121,0.01023433,0.013088519
1977Q2,39.5816,-0.25,0.75,-0.25,-0.25,0.003278693,227.5806732,0.022548957,0.022548957,0.023739642,0.023739642,4489.8,315.937,1388.2,52.1226,,,0.009551152,0.007125229,0.007609951
1977Q3,40.1585,-0.25,-0.25,0.75,-0.25,0.006582624,230.5683289,0.019034589,0.019034589,0.001196461,0.001196461,4570.6,322.0083313,1426.9,52.185,,,0.004290469,-0.015918177,-0.015733752
1977Q4,40.604,-0.25,-0.25,-0.25,0.75,0.001853957,238.88,0.03378226,0.03378226,0.011733139,0.011733139,4576.1,333.0723267,1476.2,52.8009,,,0.00102715,0.004532706,0.00472265
1978Q1,41.2905,0.75,-0.25,-0.25,-0.25,-0.005147613,237.5523224,-0.001262775,-0.001262775,0.02388257,0.02388257,4588.9,332.652,1509.7,54.0771,,,-0.004701422,0.006662669,0.011943071
1978Q2,42.364,-0.25,0.75,-0.25,-0.25,0.005863469,243.791,0.028412424,0.028412424,0.02959627,0.02959627,4765.7,342.239,1553.7,55.7015,,,0.011391575,0.012329866,0.012458155
1978Q3,43.3645,-0.25,-0.25,0.75,-0.25,0.00304727,248.2253265,0.022081858,0.022081858,0.015264888,0.015264888,4811.7,349.8803406,1597,56.5583,,,0.001666685,-0.00132166,0.000363204
1978Q4,44.2408,-0.25,-0.25,-0.25,0.75,-0.004013726,254.358,0.029768534,0.029768534,0.022469124,0.022469124,4876,360.4523315,1652.6,57.8435,,,0.002542209,0.005569933,0.008982642
1979Q1,45.3436,0.75,-0.25,-0.25,-0.25,-0.008208033,246.3056641,-0.009470807,-0.009470807,0.03561799,0.03561799,4888.3,357.054657,1680.5,59.9409,,,-0.008180101,0.010348562,0.017506078
1979Q2,46.8991,-0.25,0.75,-0.25,-0.25,0.003126706,251.68,0.03153913,0.03153913,0.034968145,0.034968145,4891.4,368.4953308,1725.1,62.074,,,0.018253038,0.009107367,0.009724984
1979Q3,48.4473,-0.25,-0.25,0.75,-0.25,0.00492808,256.1713257,0.027009938,0.027009938,0.030724598,0.030724598,4926.2,378.584,1783.6,64.0108,,,0.004798516,0.009018549,0.0069447
1979Q4,49.864,-0.25,-0.25,-0.25,0.75,-0.008523694,261.3263245,0.02124484,0.02124484,0.03466738,0.03466738,4942.6,386.713,1815.2,66.2688,,,-0.003927941,0.00775791,0.01085513
1980Q1,51.8066,0.75,-0.25,-0.25,-0.25,0.003631203,257.4126587,-0.005839604,-0.005839604,0.04541811,0.04541811,4958.9,384.4613342,1848.5,69.348,,,0.001835967,0.010067556,0.017635863
1980Q2,53.6761,-0.25,0.75,-0.25,-0.25,-0.032837007,252.3743286,-0.001297877,-0.001297877,0.019878117,0.019878117,4857.8,383.962677,1880.3,70.7403,,,-0.018546542,-0.011364642,-0.01161699
1980Q3,54.6912,-0.25,-0.25,0.75,-0.25,0.011971573,260.028,0.03898151,0.03898151,0.03252152,0.03252152,4850.3,399.2257,1935.5,73.0787,,,0.027521482,0.009792325,0.011754013
1980Q4,56.1226,-0.25,-0.25,-0.25,0.75,0.01830731,268.8883362,0.03955215,0.03955215,0.022819607,0.022819607,4936.6,415.3323364,2000.8,74.7655,,,0.005784218,0.002000769,-0.001412301
1981Q1,57.6051,0.75,-0.25,-0.25,-0.25,-0.003780371,240.412674,-0.009619975,-0.009619975,0.029407313,0.029407313,5032.5,411.356,2055.4,76.9968,,,-0.011063413,-0.000280403,0.006594615
1981Q2,58.9415,-0.25,0.75,-0.25,-0.25,0.031791627,235.331,0.03049375,0.03049375,0.02246489,0.02246489,4997.3,424.093,2112,78.7461,,,0.01964352,-0.001570974,0.00494856
1981Q3,60.6285,-0.25,-0.25,0.75,-0.25,-0.03250005,231.4396667,0.006481462,0.006481462,0.006777319,0.006777319,5056.8,426.8507,2181.7,79.2816,,,-0.02425685,-0.011224173,-0.012423718
1981Q4,61.4975,-0.25,-0.25,-0.25,0.75,-0.015520903,234.9113312,0.024031246,0.024031246,-0.001013359,-0.001013359,4997.1,437.232666,2259,79.2013,,,-0.004487531,-0.015474983,-0.010423448
