obs,rec,resid,soi
1,68.63,,0.377
2,68.63,,0.246
3,68.63,,0.311
4,68.63,,0.104
5,68.63,,-0.016
6,68.63,,0.235
7,59.16,,0.137
8,48.7,,0.191
9,47.54,,-0.016
10,50.91,,0.29
11,44.7,,0.038
12,42.85,,-0.016
13,39.62,-2.147155684,-0.158
14,44.45,1.605396092,0.366
15,38.98,-5.381189177,0.607
16,42.62,-0.120928385,-0.355
17,48.27,-0.450661771,-0.18
18,59.39,4.136357637,0.268
19,51.66,-5.532091416,0.093
20,38.55,-3.475555199,0.027
21,60.33,8.665532159,0.246
22,72.27,2.275024365,0.202
23,68.62,-1.77699423,0.432
24,69.63,-2.022016072,0.617
25,72.2,4.593325734,0.76
26,67.87,0.837958326,0.891
27,64.91001,-3.349852488,0.607
28,53.85,-4.326463163,0.574
29,37.96,-3.572008939,0.005
30,23.23,-2.57428035,0.475
31,12.68,1.690377397,0.202
32,9.84,-1.246208339,-0.027
33,7.82,-1.062761143,-0.038
34,11.78,-5.772229174,0.716
35,10.22,1.335864427,0.836
36,12.19,-2.842383726,0.891
37,18.6,-4.987437873,0.53
38,26.97,-0.812061314,0.53
39,22.52,1.015939824,0.377
40,19.18,1.919898025,-0.235
41,17.14,2.692503139,-0.585
42,18.61,-1.223247602,-0.18
43,20.02,-1.376107839,-0.53
44,22.65,-2.057364459,-0.464
45,38.99,-0.404773721,-0.443
46,76.55,15.90753476,0.049
47,87.99,-1.819928837,0.454
48,99.8,-2.938787977,0.257
49,96.69,-11.33313862,0.41
50,87.45,-9.477268021,0.224
51,88.57,5.16256419,0.148
52,97.43,14.78091255,-0.432
53,99.99,0.290354549,-0.093
54,94.88,2.480944463,-0.268
55,86.99,0.94468814,0.158
56,79.73001,1.253428185,-0.06
57,92.35,6.68867319,-0.399
58,91.29,-0.812759464,0.235
59,94.31,2.696006396,0.366
60,84.95,-0.747724264,0.202
61,82.97,5.106071492,0.344
62,92.98001,4.315096823,-0.038
63,81.06,-2.828620622,0.29
64,62.37,-6.512559174,-0.126
65,52.99,-1.658712863,-0.366
66,39.53,-2.464992891,-0.115
67,42.9,0.394458687,-0.301
68,33.76,-8.554481288,-0.486
69,40.97,3.796335714,-0.137
70,60.5,7.168099761,0.738
71,66.61,1.938278975,0.366
72,80.38,5.171034144,0.366
73,95.86,4.167294278,0.65
74,97.74,3.674838712,0.628
75,80.24,0.696076107,0.126
76,73.44,0.72618568,0.169
77,65.67,-0.426452982,0.137
78,47.81,-5.013868291,-0.257
79,33.51,-5.450080483,0.169
80,34.22,-0.816245259,-0.093
81,32.95,-1.515654849,0.475
82,32.55,-2.795593945,0.639
83,46.92,3.069194428,0.596
84,44.64,-1.776573544,0.749
85,53.02,4.08233372,0.191
86,41.98,-6.043340609,1
87,30.43,0.572862283,0.486
88,24.43,-1.967977247,0.41
89,18.05,1.331329492,0.158
90,20.98,-5.088803384,0.126
91,12.37,2.238936677,0.06
92,12.03,-1.271136781,0.246
93,12.41,-3.650950164,0.738
94,15.89,-2.415849183,0.803
95,20.46,-3.959902468,0.421
96,26.95,-2.200320668,0.617
97,30.29,-0.702023835,0.705
98,26.21,1.699954523,0.639
99,23.34,1.693593343,0.454
100,25.55,-2.53618859,0.311
101,25.4,1.72349304,0.355
102,24.16,1.403822415,-0.158
103,23.34,-0.57555682,-0.038
104,24.38,-0.679592469,0.115
105,27.2,-1.543357578,0.137
106,29.18,-0.999248212,0.257
107,43.3,0.247723466,0.115
108,53.92,1.133322974,0.038
109,59.76,1.859385572,0.082
110,64.52,0.459506572,0.148
111,65.84,2.229110801,0.06
112,70.19,2.056619107,-0.191
113,75.27,0.688409674,-0.607
114,77.63,1.138544141,-0.585
115,76.96,0.269161241,-0.268
116,77.7,0.858608472,-0.093
117,85.13,2.883534662,-0.093
118,99.33999,1.078702539,0.257
119,97.7,-11.24195226,-0.005
120,97.01999,2.21688679,0.224
121,98.83,5.237948674,0.169
122,99.8,2.739593226,0.432
123,96.74,4.899726519,0.202
124,93.54,-1.023297236,-0.366
125,82.08,-0.823456765,-0.661
126,71.51,-0.804812592,0.093
127,49.61,-9.460889861,-0.716
128,41.76,-0.445717394,0.148
129,59.78,8.078565089,-0.093
130,90.97,14.66496992,0.279
131,85.26,-5.411084994,0.432
132,100,4.715219129,-0.104
133,98.5,10.02968332,0.607
134,98.7,6.000000914,0.18
135,93.1,-0.690507179,0.071
136,79.37,0.045958818,0.246
137,81.97,3.223803313,-0.432
138,55.94,-10.77686575,0.06
139,50.39,1.87679141,-0.388
140,48.64,-4.357012645,0.202
141,40.12,-2.210005053,-0.104
142,63.04,9.966910087,0.191
143,60.51,-5.014317109,0.475
144,78.72,13.34400292,0.552
145,71.37,-6.203265087,0.169
146,76.43,8.6896338,0.333
147,71.25,-3.147262466,-0.005
148,56.46,-2.684847873,-0.038
149,41.84,-5.022766255,-0.126
150,41.24,-0.26241114,-0.443
151,35.28,-3.432372402,-0.016
152,39.86,-1.646191328,0.027
153,45.13,-2.071281855,0.333
154,53.8,3.843639874,0.355
155,77.54,9.685440694,0.344
156,80.02,-0.968071952,0.115
157,81.28,2.686541738,0.311
158,73.58,-0.820039463,0.596
159,66.06,2.295237718,0.005
160,59.46,-2.597571033,0.388
161,59.49,-1.158183393,-0.5080001
162,51.9,-4.044490548,-0.552
163,35.21,-6.31272159,-0.858
164,39.65,0.832653641,-0.596
165,31.9,-4.107337386,0.06
166,61.56,13.88133729,0.071
167,88.25,5.570946665,0.224
168,96.46,-8.869587841,0.279
169,83.94,-18.78609722,0.322
170,89.05,19.69062618,0.18
171,92.97,4.216584113,0.126
172,98.29,5.548208722,0.082
173,99.79,3.819452415,0.126
174,94.01,3.986073503,-0.213
175,87.06,1.41386249,-0.235
176,80.46,0.151883204,0.169
177,74.86,-0.989313232,0.388
178,67.18,-3.068627748,0.519
179,73.85,4.751005102,0.126
180,80.15,3.181059834,0.41
181,69.45,-4.042917442,0.738
182,50.39,-7.684721605,0.443
183,31.68,-4.350399599,0.596
184,31.25,1.870734469,-0.137
185,23.11,-5.832702667,-0.486
186,11.32,-2.401989959,-0.377
187,8.96,-1.848296943,0.268
188,6.03,2.708426446,-0.169
189,11.7,-7.71444864,-0.213
190,34.63,2.83587154,-0.191
191,58.31,8.535838032,0.377
192,58.66,-1.320603001,0.126
193,72.62,5.003838015,0.311
194,85.76,4.946623933,0.388
195,94.29,3.021210381,0.388
196,92.76999,2.536031022,0.18
197,93.18,1.279957539,-0.333
198,89.32,3.096619484,0.049
199,81.63,0.700386236,-0.082
200,71.44,-3.627135724,0.191
201,66.42,-1.182393936,0.399
202,80.02,6.67787337,0.093
203,76.52,-2.398969046,0.005
204,77.51,1.650853774,0.366
205,67.73001,-3.887976454,0.333
206,50.52,-2.971864072,0.377
207,48.97,0.401965016,0.071
208,50.64,-0.666033342,-0.158
209,38.73,-6.08210503,-0.541
210,30.79,-4.107014692,-0.683
211,23.75,-1.957289711,-0.683
212,26.28,-0.30309986,-0.344
213,36.67,-1.687323013,-0.301
214,68.91001,14.26431016,0.202
215,97.39,7.077871299,-0.126
216,96.1,-15.99339599,0.082
217,90.3,-3.957214411,0.115
218,84.92,-4.469818174,0.464
219,91.41001,14.18762016,0.104
220,92.54,-9.268042804,-0.18
221,98.04,6.712417451,-0.672
222,99.96,5.923273724,0.104
223,88.83,2.119069952,-0.486
224,83.07,-0.835583621,0.093
225,86.32,2.48700635,0.279
226,99.83,3.593724286,0.104
227,96.62,3.9884862,0.18
228,99.94,-1.718955955,0.475
229,96.89,7.098877265,0.53
230,85.12,1.901826367,0.661
231,77.97,-2.574375825,0.355
232,67.38,-2.497711251,-0.344
233,44.5,-8.328554939,-0.038
234,26.72,-4.953462229,0.235
235,13.25,-1.22321731,0.486
236,10.64,-1.020875983,0.169
237,23.83,-3.677847119,0.333
238,29.18,-0.572579538,0.137
239,26.91,-1.304984393,0.169
240,20.09,-2.190693275,0.333
241,22.33,-0.022285126,0.705
242,22.07,-2.141654043,0.377
243,26.2,-3.377566666,0.585
244,29.81,-3.154865735,-0.126
245,30.1,-0.59600347,-0.213
246,24.25,-0.696832016,0.148
247,25.3,-2.920812798,-0.126
248,23.5,-0.757022814,-0.344
249,35.62,-2.068967558,-0.5080001
250,52.11,1.5881126,0.279
251,56.79,1.345079856,0.082
252,69.09,2.280138353,0.355
253,86.64,5.117211528,0.082
254,99.28,0.022395415,0.574
255,98.48001,5.002412744,0.355
256,98.45,1.116679045,-0.257
257,94.76999,5.340564428,-0.377
258,93.58,1.451291853,-0.344
259,78.07,-3.191623343,-0.65
260,66.88,-1.973878049,-0.093
261,77.04,4.929994691,-0.137
262,88.72,5.108968737,0.115
263,94.88,0.308313746,0.705
264,99.67,-5.184567154,0.399
265,100,9.518101924,0.366
266,99.9,3.829736433,0.366
267,96.91001,3.239318055,0.038
268,66.88,-10.36602831,-0.268
269,52.39,-0.781678679,0.322
270,40.61,-2.981359463,0.082
271,30.65,-2.152483158,0.082
272,32.04,-4.372634481,0.06
273,45.28,3.89690087,0.268
274,35,-5.292528926,0.421
275,35.62,0.266861848,0.77
276,36.98,-1.099675504,0.803
277,39.89,2.054290518,0.661
278,36.88,-4.86150769,0.716
279,30.85,-2.424819257,0.628
280,19.33,-1.232441872,0.191
281,13.26,1.711872508,0.53
282,11.12,-1.380287033,0.18
283,9.140001,0.143230761,-0.464
284,8.21,-1.266972643,0.279
285,10.76,-5.795441079,0.355
286,10.43,1.451087197,0.202
287,13.75,-5.319748396,0.552
288,37.91,1.947772102,0.617
289,41.85,0.363002862,0.104
290,44.67,0.998628174,0.224
291,50.57,-0.937237653,0.432
292,50.34,5.9665048,-0.213
293,49.54,1.984178741,-0.967
294,56.93,-2.004310954,-1
295,60.16,2.143151744,-0.432
296,57.47,1.140077701,-0.683
297,71.68,2.870820327,-0.5080001
298,97.28,1.093552602,-0.137
299,62.09,-54.93641891,0.082
300,59.97,5.49367238,-0.06
301,51.18,-23.20361149,0.333
302,51.48,-6.628956778,0.355
303,66.08,3.587968507,0.388
304,86.39,15.02702644,-0.06
305,93.58,0.362863595,-0.202
306,99.9,14.97970357,0.005
307,93.86,3.499652923,-0.115
308,82.82,0.878651543,0.137
309,84.83999,2.898352042,0.454
310,89.51,3.219369162,0.388
311,86.89,0.143219461,0.738
312,87.15,0.070189869,0.77
313,78.47,-1.285082455,0.803
314,55.93,-8.073123295,0.836
315,41.27,-4.614331959,0.65
316,19.66,-6.401611461,0.005
317,9.439999,2.790670428,-0.366
318,4.66,1.681876012,0.071
319,2.36,5.490912705,-0.005
320,1.72,0.831631967,-0.454
321,3.32,-8.960138442,0.191
322,12.13,-4.797518615,0.432
323,16.81,0.079147621,0.683
324,24.3,-2.733334985,0.388
325,52.42,7.293092165,0.235
326,58.05,0.133776822,-0.093
327,59.42,3.081721792,0.475
328,57.52,2.979166436,-0.082
329,60.13,4.505958121,-0.617
330,64.68,0.520298616,-0.093
331,74.94,0.890730925,-0.071
332,69.73001,0.887629405,0.432
333,77.11,2.597178213,0.421
334,97.93,4.844622163,0.497
335,98.74,0.791133841,0.454
336,98.88,-0.047518054,0.596
337,90.41001,3.760701141,0.552
338,77.86,1.186257426,0.607
339,61.48,-5.637461369,0.464
340,47.66,-3.542617854,-0.301
341,30.74,-5.314210831,-0.77
342,20.11,-1.894337114,-0.65
343,12.08,-0.978571866,-0.694
344,8.97,-0.710263866,-0.137
345,20.03,-4.534800875,-0.464
346,71.54,29.80522733,-0.246
347,97.51999,2.851091066,0.169
348,95.14,-16.91726836,-0.202
349,92.22,4.136585809,0.082
350,80.09,-13.69339142,0.607
351,74.59,-6.094882564,-0.158
352,83.66001,9.420545871,-0.454
353,87.36,-8.020927804,-0.781
354,96.63,11.1383776,-0.388
355,93.36,9.533958854,0.18
356,94.7,-1.869403864,0.06
357,99.66001,-1.106478866,-0.5080001
358,91.6,-16.04894164,-0.268
359,89.98001,2.109790622,0.224
360,99.39,19.64886881,0.115
361,99.46,0.494983371,0.399
362,99.37,-8.790869611,0.027
363,99.51999,4.437822468,0.016
364,96.64,11.79824857,-0.377
365,89.55,-2.369366735,-0.18
366,68.67,-7.754563639,-0.038
367,65.02,3.540355356,-0.202
368,61.82,-0.860436694,0.137
369,76.92,9.228504037,0.093
370,80.17,-2.268307846,-0.279
371,77.48001,1.417889962,-0.038
372,82.34,4.775089709,0.235
373,74.11,-0.646498962,0.169
374,69.03,-0.011071069,0.399
375,79.48001,4.141116387,0.158
376,78.76,0.523495316,-0.541
377,67.55,-4.001702687,-0.628
378,59.98,-2.974534775,0.027
379,44.35,-4.697062226,-0.738
380,41.18,-0.766802856,-0.913
381,71.53,13.17720979,-0.027
382,95.51999,5.899425859,0.071
383,93.48001,-0.651961114,-0.126
384,98.18,-6.850606624,0.049
385,70.48001,-35.68701501,0.454
386,77.63,24.91266916,0.301
387,88.11,3.984655799,-0.005
388,93.15,-2.93961547,-0.093
389,99.01,6.612843568,-0.224
390,93.31,9.061245003,-0.213
391,81.21,-1.36857247,-0.311
392,79.63,0.768825406,-0.235
393,80.67,2.557195864,-0.322
394,85.63,3.020505942,0.322
395,88.66001,0.759729397,0.093
396,93.65,4.281598925,0.115
397,95.49,2.12758594,0.77
398,98.26999,1.555678308,0.607
399,86.19,0.611773448,-0.158
400,79.69,0.251731372,-0.235
401,72.26,-1.789391952,-0.202
402,35.06,-16.23548589,-0.333
403,20.98,0.812897569,-0.158
404,29.67,-0.505551592,-0.224
405,42.09,3.459535813,-0.355
406,52.96,-0.710542414,0.005
407,69.45,6.600446432,0.454
408,76.86,5.753800732,0.41
409,86.19,5.797023921,0.519
410,96,1.906340454,0.541
411,96.07,3.104682295,0.301
412,86.85,2.58868034,-0.574
413,76.66001,-0.91272369,-0.344
414,61.47,-3.573548824,-0.279
415,46.26,-4.655314814,-0.716
416,40.15,-3.286054183,-0.869
417,72.59,16.34470518,-0.596
418,85.17,-0.233788295,-0.29
419,91.74,2.628896397,-0.454
420,99.22,-4.514921042,-0.246
421,76.55,-28.95542322,-0.607
422,64.17,-9.521865433,-0.563
423,69.2,2.898298976,-0.235
424,70.37,-10.82763374,-0.246
425,79.55,2.189374542,-0.399
426,74.79,-18.71886608,-0.333
427,70.9,-6.883640664,-0.53
428,78.86,8.277411604,-0.049
429,84.28,-0.734272949,0.158
430,83.43,-9.758573842,0.115
431,85.55,-0.060479854,0.322
432,80.17,-10.34189255,0.115
433,90.82,16.98240541,0.049
434,99.39,9.428879848,0.454
435,99.18,0.804320512,0.158
436,89.1,0.0414754,-0.421
437,82.18,2.418793658,-0.268
438,77.64,1.665749002,-0.311
439,55.93,-9.468752393,-0.115
440,49.73,-1.101638233,-0.322
441,70.12,10.63224455,-0.322
442,79.2,2.624275866,0.126
443,87.83,2.053331071,0.333
444,88.2,0.597987037,0.519
445,94.83,7.991494186,0.399
446,98.66001,0.767801081,0.519
447,94.83999,3.693712763,0.432
448,83.06,-1.919559232,0.355
449,61.42,-6.953711846,-0.126
450,47.47,-1.687092065,-0.5080001
451,31.81,-6.022284092,-0.388
452,22.95,-3.432987503,0.388
453,17.87,-4.092937208,0.071
