gender,height,totwaglm,age,wtimeyrs,exp,edyrs
male,184.2,451.3,33,12.83,15.5,11.5
female,165.9,1145.5,50,3.67,35,9
male,166.2,1698.8,47,0.08,31,10
male,185.1,1019.3,28,0.5,13,9
female,154.2,899.8,31,0.5,12,13
male,171,2405.5,33,1.17,15.5,11.5
female,174.3,343.6,29,10.25,8,15
female,162,458.2,51,5,32,13
male,171.8,801.8,49,0.58,33,10
male,173.5,687.3,40,NA,21,13
female,164.8,572.7,36,0.33,18.5,11.5
female,163.9,181.2,39,4.25,21.5,11.5
male,167.9,237.8,36,11.08,18.5,11.5
female,168.7,801.8,43,3.92,24,13
male,171.8,687.3,46,17.67,28.5,11.5
female,159.6,515.5,46,26.67,28.5,11.5
male,172.7,710.2,50,30.17,34,10
female,151.2,229.1,51,0.33,32,13
male,165.6,458.2,55,22.25,34,15
female,156.1,160.4,51,10.25,32,13
male,164.2,286.4,49,10.25,35,8
female,167.3,229.1,42,12.75,26,10
female,158.8,168.2,52,4.5,36,10
female,164,458.2,28,9.08,7,15
female,162.2,1088.2,41,2.5,25,10
male,169.3,630,35,0.33,17.5,11.5
male,178.9,566.3,42,0.92,24.5,11.5
female,159.8,481.1,49,25.08,28,15
male,163.6,1214.2,55,24.08,39,10
female,163.6,343.6,49,26.17,28,15
male,166.6,412.4,58,35.25,44,8
female,165.6,206.2,31,2.08,12,13
male,179.7,824.7,34,3.58,16.5,11.5
female,168.4,515.5,52,8.33,36,10
female,166.4,343.6,45,1.17,24,15
female,158.3,801.8,46,6.58,27,13
female,163,412.4,42,2.08,24.5,11.5
female,168.6,1718.2,39,13.08,23,10
female,180.6,458.2,31,4.17,10,15
female,173.7,206.2,54,2.92,38,10
female,156.7,733.1,48,5.5,33,9
female,158.1,343.6,43,14.92,24,13
male,160.1,1374.6,49,10.25,28,15
female,166,241.7,46,13.08,30,10
female,154.8,NA,47,22.58,31,10
female,158.4,178.7,51,16.17,34,11
male,170.4,423.8,55,1,38,11
male,171.1,114.5,40,0.08,22.5,11.5
female,169.9,355.1,42,20.42,26,10
female,158,286.4,44,0.33,28,10
female,163.8,458.2,31,1.75,12,13
male,183,1145.5,31,5.5,12,13
female,143.9,1546.4,50,22.08,29,15
female,168,286.4,41,0.75,22,13
male,181.7,1145.5,45,3.67,24,15
female,170.2,396.3,47,4.17,31,10
female,170.7,274.9,45,8.58,26,13
female,163,194.7,44,7.25,25,13
male,175.2,1489.1,53,28.33,32,15
female,160.3,137.5,50,0.17,32.5,11.5
female,161.3,274.9,52,10.08,36,10
female,164.9,269.2,31,6.75,14,11
female,164,286.4,28,0.33,7,15
female,161.3,366.6,52,0.42,33,13
female,153.6,332.2,47,12.08,26,15
male,166.4,538.4,48,3.25,32,10
female,159.2,801.8,46,23.75,27,13
male,175.9,801.8,45,11.83,26,13
female,152,630,49,26.92,30,13
female,147.5,57.3,45,NA,29,10
male,160.6,572.7,48,5.17,32,10
female,152.1,378,40,0.42,24,10
male,172,916.4,42,3,26,10
female,156.2,916.4,44,0.67,26.5,11.5
female,171.9,229.1,28,6,9,13
male,183.4,1260,54,10.08,35,13
female,168.3,435.3,35,1.5,19,10
female,175,65.3,34,15.17,15,13
male,180,973.7,32,4.25,14.5,11.5
female,170.9,458.2,39,6.42,18,15
female,147.3,696.4,55,29.08,36,13
female,152.8,103.1,45,29.33,26,13
male,170.2,916.4,50,30.58,32.5,11.5
female,169.8,504,39,17.33,21.5,11.5
male,175.9,744.6,44,9.42,28,10
female,155.6,916.4,51,21.58,30,15
male,165.5,916.4,52,28.67,31,15
female,162.6,274.9,34,12.17,13,15
male,176.7,NA,42,2,24.5,11.5
female,158.2,226.5,41,1.25,25,10
male,177.1,339.8,45,NA,29,10
female,164.4,286.4,44,6,28,10
female,164.7,572.7,47,30,31,10
male,174.9,744.6,49,25.83,31.5,11.5
female,151.6,572.7,52,31.5,37,9
male,180,458.2,57,37.5,38,13
male,182.1,515.5,42,18.17,24.5,11.5
female,159.9,NA,38,5.5,19,13
male,177.4,630,51,30.33,35,10
female,159,687.3,49,20.5,30,13
male,178.4,687.3,49,8.5,31.5,11.5
female,157.2,286.4,34,1.17,13,15
female,163.3,423.8,29,9.25,10,13
female,167,687.3,36,14,15,15
female,157.9,355.1,47,7.25,28,13
male,172.5,882,36,11.5,20,10
female,156.9,343.6,36,1.67,18.5,11.5
male,183.1,1145.5,40,17.5,22.5,11.5
female,159.3,630,30,4.33,11,13
male,190,635.7,48,23.17,30.5,11.5
female,164,309.3,50,19.17,34,10
female,174.8,229.1,42,24.17,23,13
female,155.4,744.6,55,31.58,36,13
female,161.2,343.6,44,NA,25,13
male,178.5,1546.4,44,NA,23,15
female,155,320.7,45,23.08,27.5,11.5
male,167.8,343.6,50,0.83,32.5,11.5
female,172.3,916.4,48,26.17,27,15
female,158.2,687.3,50,5,31,13
female,159.7,343.6,28,3.58,7,15
male,176.4,572.7,43,0.17,25.5,11.5
female,160.9,91.6,42,0.08,26,10
female,163.1,343.6,43,7.92,22,15
female,162.4,801.8,36,2.92,18.5,11.5
female,160.6,NA,37,4.58,19.5,11.5
male,182.6,286.4,34,13,16.5,11.5
male,169.2,286.4,35,13,19,10
female,159.6,137.5,51,11.5,35,10
female,158.6,124.2,31,9.83,13.5,11.5
male,178.1,84.3,36,0.5,18.5,11.5
female,154,572.7,54,3.67,35,13
female,165.4,52.7,48,13.08,32,10
female,167.1,148.9,39,4.25,18,15
male,171.5,160.4,39,6.83,21.5,11.5
male,180.5,114.5,33,11.75,17,10
female,176,91.6,40,NA,21,13
male,176.3,137.5,42,0.92,24.5,11.5
male,160.2,22.9,55,9.42,37.5,11.5
female,158.8,286.4,44,2.58,25,13
male,174.4,400.9,30,4.67,12.5,11.5
female,165.3,229.1,43,24.67,24,13
male,167.6,801.8,47,12.5,31,10
female,165,126,33,3.08,15.5,11.5
male,177.5,286.4,35,11.08,16,13
female,165.3,297.8,31,13.17,12,13
female,164.1,1145.5,46,2.75,27,13
female,157.9,469.6,50,16.17,29,15
female,167.7,400.9,37,0.5,19.5,11.5
male,165.1,458.2,38,8.5,20.5,11.5
male,178.2,441,43,23,24,13
female,168.3,572.7,34,2.25,16.5,11.5
male,184.9,572.7,39,2.08,21.5,11.5
female,159.7,114.5,37,14.67,18,13
female,164.2,572.7,40,14.5,22.5,11.5
female,160.3,412.4,35,10.42,14,15
female,152.3,309.3,48,2.33,32,10
male,172.8,400.9,53,NA,39,8
female,159.3,79,49,0.42,33,10
male,171,423.8,55,13.25,36,13
female,159.6,252,55,13,36,13
male,173.9,515.5,49,19.5,33,10
female,156.2,286.4,55,4.42,34,15
female,153,114.5,33,0.33,14,13
female,171.9,222.2,36,17.08,15,15
male,177.2,1489.1,32,NA,14.5,11.5
female,165.8,171.8,32,13.83,13,13
male,180.1,80.2,33,4.75,15.5,11.5
male,170.1,320.7,57,35.17,36,15
female,156.4,171.8,45,1.33,26,13
female,163.2,171.8,34,10,18,10
male,169,355.1,51,4.42,32,13
female,155.4,137.5,54,12.58,37,11
female,164.1,169.9,47,5.5,29.5,11.5
female,166.5,713.5,54,0.08,35,13
male,176.1,419,50,14.83,29,15
male,170.5,229.1,43,2.33,27,10
female,158.2,114.5,44,19.42,25,13
female,164.9,344.8,48,29.25,29,13
male,178.3,286.4,46,17.83,30,10
male,176,1174.4,45,17.75,24,15
female,153.5,532.3,43,3.17,22,15
male,176.1,343.6,50,1,34,10
female,162,194.7,36,4.92,17,13
female,171.4,137.5,42,11.08,26,10
male,172,400.9,46,5,30,10
female,164,355.1,52,11.83,33,13
female,161,203.9,37,1.42,16,15
male,173.9,566.3,40,12.42,19,15
female,156.6,194.7,46,24.5,25,15
male,165.2,114.5,51,NA,35,10
female,157.7,114.5,42,NA,24.5,11.5
female,168.8,113.3,37,0.75,18,13
female,161.4,652.9,46,2.17,30,10
female,173.4,225.4,41,2.58,22,13
female,160.7,286.4,48,14.08,30.5,11.5
male,175.1,343.6,52,12.42,36,10
female,164.8,137.5,52,34.42,33,13
female,160.9,400.9,40,12.17,19,15
female,156.2,229.1,48,18.92,29,13
male,167.7,206.2,46,7.17,30,10
female,163.6,305.8,36,5.58,17,13
male,178.7,114.5,39,16.42,18,15
male,175.7,252,41,0.92,20,15
female,164,229.1,41,19.17,20,15
male,170.1,91.6,45,15.58,26,13
female,165.3,183.3,37,3.17,18,13
female,162.2,137.5,40,0.25,22.5,11.5
female,162.3,103.1,43,1.92,24,13
male,172.2,801.8,44,9.33,28,10
female,164.1,229.1,45,1,26,13
female,164.2,68.7,44,20,26.5,11.5
male,174.1,859.1,44,0.83,25,13
female,161.7,NA,33,NA,14,13
female,158.2,343.6,41,19.17,20,15
female,167.6,148.9,45,4.83,26,13
male,176,206.2,45,1.17,26,13
male,177.7,1489.1,41,1.25,25,10
female,159.1,96.3,42,0.08,21,15
female,162.9,400.9,48,29.17,27,15
male,170.7,286.4,44,8.08,23,15
female,162.3,679.5,40,0.17,22.5,11.5
male,164,1415.6,49,0.58,28,15
female,154.4,226.5,50,7.5,31,13
male,157,226.5,51,7.67,32,13
female,160,566.3,48,20.08,29,13
female,166.4,916.4,41,NA,20,15
male,166.1,801.8,42,NA,24.5,11.5
female,157,396.4,45,14,26,13
female,161.9,203.9,37,18.42,18,13
male,173,566.3,48,NA,30.5,11.5
female,154.5,203.9,47,16.83,29.5,11.5
male,181.2,849.4,34,3.67,13,15
female,159.9,736.1,35,15.08,16,13
female,162.9,226.5,30,0.75,14,10
male,168.4,679.5,51,9.08,30,15
male,176,815.4,50,4.83,29,15
female,160.5,339.8,45,0.25,26,13
male,162.1,792.8,51,0.42,35,10
female,155.1,566.3,52,10.17,35,11
male,188.9,679.5,55,5.75,34,15
male,181.4,1132.5,31,1.58,10,15
female,158.1,815.4,40,1.25,22.5,11.5
male,176.5,736.1,40,19.25,24,10
female,166.3,396.4,35,5.17,16,13
female,167.1,679.5,41,4.58,17,18
female,167,396.4,45,2,24,15
male,174.2,169.9,47,26.25,28,13
female,169.9,283.1,41,4.33,23.5,11.5
female,154.4,237.8,50,3.58,32.5,11.5
male,178.9,634.2,44,0.08,28,10
female,162.8,286.4,36,7.08,15,15
male,168.1,566.3,43,8.58,25.5,11.5
female,160.2,229.1,51,24.67,32,13
female,154.9,217.6,47,14.83,31,10
male,169.9,1168.4,28,5.75,9,13
male,177.5,634.2,47,22.17,31,10
male,170.5,464.3,32,0.17,15,11
female,156.6,395.2,44,1.17,23,15
female,163.2,429.6,47,0.92,31,10
male,170.8,896.2,58,40.25,40.5,11.5
female,158,78.4,37,19.42,16,15
male,164.4,572.7,55,37.5,37.5,11.5
female,166.4,215.2,28,0.17,9,13
female,170.1,226.5,49,2,33,10
female,163.6,572.7,55,34.42,36,13
male,181.5,1603.7,44,NA,26.5,11.5
male,174.9,1030.9,29,1.42,12,11
female,152.7,572.7,50,0.25,31,13
male,169.2,687.3,53,31.25,37,10
male,171.8,859.1,27,0.67,8,13
female,152,407.7,40,8.25,19,15
male,166.4,226.5,46,NA,25,15
male,170.1,339.8,58,NA,39,13
female,166.8,679.5,33,0.42,12,15
female,156.1,299.9,55,28.17,34,15
female,164,183.3,43,4.33,25.5,11.5
male,167,847.7,43,2.33,25.5,11.5
male,174.1,916.4,47,6.42,26,15
female,162.2,286.4,47,0.92,26,15
male,176.4,355.1,55,2.08,39,10
female,170.9,1030.9,28,1.42,7,15
female,163.2,469.6,47,4.5,28,13
female,158.5,343.6,41,23.42,22,13
female,155.9,687.3,40,NA,19,15
male,180.3,171.8,44,0.25,25,13
female,157.5,118,45,11,26,13
male,173.2,1132.5,39,3.83,23,10
female,164.5,458.2,36,0.08,18.5,11.5
male,184,458.2,38,4.83,22,10
female,158.1,469.6,46,20.17,25,15
male,163.6,744.6,50,34.33,34,10
female,164.3,83.6,41,24.33,23.5,11.5
female,167.3,419,44,2.33,28,10
male,173.2,906,45,21.75,27.5,11.5
male,182.9,339.8,39,17.83,21.5,11.5
female,163.7,664.4,49,11.25,28,15
male,177.2,1030.9,49,24.33,30,13
female,162,1019.3,36,10.08,15,15
male,179.6,515.5,37,NA,21,10
female,164,400.9,50,NA,34,10
female,159.9,260.5,38,NA,22,10
male,170.1,453,41,NA,22,13
female,160.5,320.7,41,1.33,23.5,11.5
male,170.3,390,42,1.25,26,10
female,166.6,229.1,32,3,14.5,11.5
female,156.4,134,41,20.08,20,15
female,164.9,91.6,46,19.33,27,13
female,163,68.7,30,7.92,11,13
male,173.9,458.2,33,12.75,15.5,11.5
male,173.5,1132.5,41,0.67,20,15
female,162.5,183.3,41,0,20,15
female,161,243.5,43,5,24,13
male,185.1,781.4,43,10.58,24,13
female,164.5,458.2,30,9.75,9,15
male,174.5,557.8,40,0,19,15
female,157.4,263.5,52,0.67,35,11
female,158.7,240.5,54,8.17,38,10
female,167.7,258.9,48,6,29,13
female,165.2,247.4,27,3.42,8,13
female,154.2,132.9,53,2.67,35.5,11.5
male,174.9,481.1,51,1.42,33.5,11.5
female,153.9,506.3,49,23.25,28,15
female,163.8,226.5,37,17.17,18,13
female,160,NA,52,14.5,31,15
male,166.1,343.6,49,14.08,30,13
female,163.2,343.6,49,19.17,28,15
male,182.5,458.2,37,NA,18,13
female,161.9,566.3,43,25.17,24,13
female,156,286.4,47,0.5,28,13
female,162.4,229.1,41,NA,22,13
male,166.4,229.1,45,3.83,26,13
female,157.5,458.2,55,1.25,34,15
female,159,446.7,53,13.42,32,15
male,182,400.9,55,14.08,36,13
female,155.5,137.5,53,0.42,37,10
male,173.9,378,53,35.17,37,10
female,153.3,309.3,37,NA,19.5,11.5
male,169.6,229.1,42,1.83,26,10
female,165.2,343.6,41,10.67,22,13
male,170.7,458.2,41,NA,25,10
female,164,206.2,37,0.25,19.5,11.5
male,181.7,343.6,39,NA,21.5,11.5
female,155.1,343.6,39,15.17,18,15
female,162.8,339.8,40,NA,22.5,11.5
male,183.2,169.9,42,0.75,24.5,11.5
female,161.7,171.8,53,NA,34,13
male,173.8,229.1,54,NA,36.5,11.5
female,166.9,229.1,38,4.58,22,10
male,163.5,1145.5,34,NA,15,13
male,169.7,240.5,56,9,39,11
female,162.2,458.2,37,13.58,21,10
male,181.1,435.3,32,1.5,14.5,11.5
female,156.4,274.9,34,16.08,15,13
female,164.5,57.3,43,4.25,27,10
male,172.8,2291,49,0.17,33,10
female,165.1,171.8,49,17.75,33,10
male,176.3,687.3,50,15.42,31,13
female,163.7,652.9,37,2.83,18,13
male,175.3,2291,41,8.5,22,13
female,160.9,366.6,36,18.25,18.5,11.5
female,153.4,137.5,39,18.08,20,13
female,151.8,229.1,45,13.25,29,10
female,171.9,274.9,43,0.25,27,10
female,166.8,286.4,45,0.42,26,13
male,171.9,252,50,32.17,34,10
female,156.5,229.1,50,4.58,31,13
male,186.7,343.6,49,3.25,33,10
male,183.8,801.8,48,27.33,29,13
female,161.5,140.5,45,23.5,26,13
female,167.6,68.7,36,0.92,15,15
female,167.9,171.8,38,15.17,22,10
male,171.5,171.8,42,19.25,24.5,11.5
female,150.1,240.5,50,0.33,31,13
male,163.3,183.3,55,5,36,13
female,161.6,400.9,52,3.67,33,13
male,170.4,391.8,32,4.08,11,15
female,158.9,91.6,39,9,21.5,11.5
male,164.1,45.8,43,21.67,25.5,11.5
male,161.5,309.3,39,12.33,21.5,11.5
female,165.6,378,32,3.92,14.5,11.5
female,156.9,13.7,47,0.25,31,10
male,180.4,1359,42,1.5,23,13
female,162,229.1,53,31.17,32,15
male,171.6,332.2,56,0.58,38.5,11.5
female,160.6,226.5,47,2.42,26,15
female,159.1,339.8,48,18.25,27,15
male,174.1,566.3,50,18.25,26,18
female,164.8,109.3,48,0.08,29,13
male,175.5,226.5,51,1.92,32,13
female,162.9,201.9,44,2.92,26.5,11.5
female,167.5,229.1,42,20.08,23,13
female,164,309.3,48,12.42,29,13
female,155,NA,35,8.58,19,10
female,164.8,446.7,39,21.08,18,15
male,175.8,343.6,44,0.33,26.5,11.5
female,169.9,189,35,0.25,17.5,11.5
female,163.3,687.3,41,8.5,20,15
male,178.1,343.6,42,1,25,11
female,171.1,309.3,36,16.5,17,13
female,164.2,23.6,48,25.5,32,10
female,163.7,274.9,44,20.42,26.5,11.5
male,175.7,286.4,51,0.92,33.5,11.5
female,157,458.2,30,1.92,16,8
female,160.2,339.8,46,3.08,28.5,11.5
male,173.4,679.5,48,3.08,30.5,11.5
female,158.4,454.9,29,7.17,8,15
female,165.7,515.5,39,13.17,18,15
male,167.4,566.3,37,0.17,21,10
female,161.1,286.4,40,0.17,24,10
female,162.4,229.1,31,3.58,12,13
female,165.8,105.4,43,0.58,25.5,11.5
male,170.8,170.7,43,0.42,25.5,11.5
male,164.8,283.1,35,0.25,17.5,11.5
female,162,320.7,48,15,29,13
female,159.3,126,36,10,18.5,11.5
female,158.6,229.1,39,11.08,18,15
male,177.4,283.1,39,11.17,23,10
male,164,40.1,55,4.67,34,15
female,158,229.1,42,4.83,24.5,11.5
male,164.3,43.5,44,0.17,28,10
male,178,126,55,2.08,34,15
female,157.8,274.9,51,10.92,30,15
female,161.9,916.4,34,14.42,15,13
male,167.1,114.5,40,0.92,24,10
male,163,343.6,42,12,24.5,11.5
female,162.2,343.6,35,4.58,21,8
female,156.2,80.2,36,0.5,17,13
male,168.7,286.4,40,0.33,24,10
female,151.8,183.3,51,7.75,32,13
female,163.9,306.5,49,2.08,30,13
male,183.1,91.6,45,NA,29,10
female,167,85,49,17.08,35,8
female,167,435.3,53,22.08,32,15
female,154.9,91.6,44,0.33,28,10
female,155.5,106.5,53,1.17,34,13
male,169.7,458.2,56,3.42,40,10
female,155.1,263.5,50,24.17,29,15
female,165.1,229.1,46,23.42,28.5,11.5
male,168.5,12.6,41,5.08,23.5,11.5
male,173.3,110,47,1.83,29.5,11.5
male,173,45.8,39,5.58,23,10
female,157.8,297.8,37,18.17,18,13
female,154.9,148.9,43,0.17,24,13
male,169.5,85.9,41,0,25,10
female,164.2,240.5,53,2.25,34,13
male,166.9,274.9,56,11.5,40,10
male,170.7,572.7,31,0.92,13.5,11.5
female,164.3,343.6,31,1.67,13.5,11.5
male,182.6,801.8,38,0.75,22,10
male,186,1145.5,48,1.42,32,10
female,153.7,229.1,34,8.67,13,15
male,165.5,114.5,32,11.92,16,10
male,175.6,572.7,46,NA,30,10
female,156.3,68.7,46,17.58,32,8
female,155,229.1,42,0.58,23,13
male,170.1,103.1,47,29.33,31,10
male,174.2,194.7,45,25.25,27.5,11.5
male,172.3,176.4,48,6,31,11
female,159.5,145.5,44,6,26.5,11.5
female,156.3,183.3,40,NA,24,10
female,161.8,339.8,55,15.17,36,13
female,156.3,339.8,34,10.5,15,13
female,161.9,2291,42,9.75,26,10
female,166.5,137.5,44,3.75,26.5,11.5
female,163.3,521,45,6.17,24,15
male,182.2,1359,44,6.67,23,15
female,159.6,588.9,35,4.33,17.5,11.5
male,162.9,1359,41,0.92,22,13
male,171.1,1145.5,55,15.67,34,15
female,156.5,343.6,48,18.42,29,13
male,164.7,444.4,49,27.08,31.5,11.5
female,161.3,492.6,47,15.83,26,15
female,163.9,274.9,54,1.92,36.5,11.5
male,166.4,2176.4,59,10.42,43,10
female,157.9,294.4,29,4.33,14,9
male,183.9,3001.1,29,3.42,8,15
female,161,698.7,38,10.08,19,13
male,186.1,664.4,38,NA,17,15
female,160.2,1019.3,41,21.58,22,13
female,164.1,572.7,55,9.08,34,15
male,180.9,458.2,55,5.08,36,13
male,174.7,400.9,40,10,21,13
male,156.8,286.4,43,8.92,27,10
female,165.9,400.9,38,0.92,19,13
male,155.4,790.4,52,32.17,36,10
female,157.2,366.6,48,16.83,29,13
male,175.6,687.3,47,8.08,28,13
female,171.8,260.5,36,16.17,17,13
male,171.6,792.8,35,10.33,16,13
female,166.5,458.2,48,6.25,27,15
female,159,343.6,32,5.17,13,13
female,162.5,286.4,41,1.08,22,13
male,165.4,286.4,43,26.5,25.5,11.5
female,160.2,327.6,39,1.83,20,13
female,156.7,286.4,44,25.25,25,13
male,192.1,572.7,46,3.42,30,10
female,163.1,572.7,48,2.17,29,13
female,153.5,679.5,53,2.5,34,13
male,163.4,339.8,56,0.33,35,15
female,157.6,183.3,45,2.08,28,11
male,167.1,75.8,42,23.17,24.5,11.5
female,162.4,458.2,43,14.67,24,13
male,179.9,801.8,44,2.67,28,10
female,161.1,160.4,28,1.67,10.5,11.5
female,162.6,687.3,55,36,36,13
male,175.1,171.8,41,0.17,23.5,11.5
female,156,1145.5,53,2.33,36,11
female,154.7,378,45,26.5,26,13
female,163.4,249.2,45,1.25,26,13
male,168.8,481.1,34,10.92,18,10
male,172.5,1145.5,29,7.08,11.5,11.5
male,168.9,343.6,52,1.92,35,11
male,178.2,286.4,30,3.5,11,13
male,180.3,733.1,33,12.58,17,10
female,151.5,366.6,49,23.17,31.5,11.5
female,176.7,400.9,38,5.42,20.5,11.5
male,178.6,171.8,45,0.17,27.5,11.5
female,163.1,286.4,38,20.17,20.5,11.5
male,172.1,572.7,39,0.08,21.5,11.5
female,163.8,343.6,44,1.17,25,13
female,167.3,641.5,47,27.5,31,10
female,165.4,229.1,47,0.5,28,13
female,155.9,572.7,35,11.08,14,15
female,159,538.4,51,34.08,35,10
male,180.7,607.1,54,34,38,10
female,174,328.4,35,14.17,14,15
male,177.2,792.8,36,0.25,15,15
female,155.2,366.6,44,6.25,25,13
male,179.9,566.3,32,0.58,14.5,11.5
male,194.3,566.3,41,NA,23.5,11.5
female,158,339.8,47,21.08,28,13
female,170.3,778.9,51,6.08,27,18
male,183.4,515.5,50,6.25,29,15
female,160,343.6,30,7.08,13,11
female,175,3057.8,46,9.75,25,15
female,148.1,137.5,42,9,21,15
male,163.4,492.6,44,0.5,26.5,11.5
female,170,622.9,41,4.75,25,10
male,172,736.1,39,3.75,21.5,11.5
female,164.1,378,52,32,33,13
male,166.2,481.1,58,20,40.5,11.5
male,175.1,1718.2,60,13.25,36,18
female,176.3,687.3,34,5.83,10,18
female,163,148.9,42,6,26,10
male,177.8,458.2,38,NA,22,10
female,165.7,229.1,44,9.33,28,10
male,171.1,103.1,48,3.42,32,10
female,167.8,458.2,34,0.92,15,13
male,180.3,916.4,36,1.08,15,15
female,150,712.6,54,29.17,33,15
female,163.9,343.6,29,2,15,8
female,161.1,458.2,46,11.08,28.5,11.5
female,172.3,572.7,30,1.08,9,15
female,160,1374.6,47,0.17,28,13
male,164.4,137.5,50,7.25,31,13
male,167.4,744.6,44,0.42,26.5,11.5
male,175.2,320.7,56,14.08,35,15
female,172.1,526.9,42,13.75,21,15
male,178.6,1145.5,36,3.92,18.5,11.5
female,148,351,38,17.17,20.5,11.5
female,162.3,128.1,50,21.67,32.5,11.5
male,175,366.6,49,0.92,32,11
female,157.6,458.2,52,8.08,36,10
female,151.7,38.5,55,2.08,38,11
female,158,105.4,38,3.33,20.5,11.5
female,171.3,211.9,44,8.92,26.5,11.5
female,173.4,111.7,34,8.08,13,15
female,162.8,137.5,51,11.67,32,13
male,187.1,859.1,44,7.83,25,13
female,165.9,229.1,48,21.08,27,15
female,153.2,252,47,25.08,28,13
female,161.6,355.1,28,5.17,9,13
male,182.2,916.4,31,6.42,10,15
female,155.7,126,50,6.25,36,8
female,166.3,1718.2,54,26.17,33,15
male,181.8,2863.7,53,2.5,32,15
male,171.8,515.5,35,1.25,17.5,11.5
female,169.3,435.3,36,7.08,15,15
male,176.1,607.1,34,5.25,13,15
female,162.5,171.8,35,10.75,14,15
male,185.4,137.5,32,15.33,16,10
male,181.4,1260,32,5.33,14.5,11.5
female,162.9,171.8,34,16.33,16.5,11.5
female,158.9,57.3,44,0.42,26.5,11.5
female,157.3,549.8,55,8.42,34,15
female,163.8,NA,33,11.08,12,15
female,170.1,206.2,44,26.25,26.5,11.5
male,185,309.3,43,25.58,22,15
female,176.3,286.4,38,12.17,17,15
male,170.5,171.8,54,0.17,35,13
female,165.2,458.2,53,27.83,35.5,11.5
male,174.3,801.8,30,3.08,11,13
female,169,458.2,50,29.75,33,11
male,190.7,400.9,31,1.58,10,15
female,163.5,NA,52,3.92,36,10
male,171.9,NA,49,9.42,30,13
male,173.9,400.9,54,7.67,35,13
male,166.4,801.8,44,26.25,26.5,11.5
female,158.8,137.5,47,3.33,30,11
male,177.2,458.2,55,13.5,38,11
