gender,height,totwaglm,age,wtimeyrs,exp,edyrs
female,166.1,400.9,53,4.33,34,13
female,164.3,572.7,28,6.42,9,13
female,165.1,229.1,36,16.67,17,13
female,156.9,281.8,39,1.17,23,10
male,168.9,469.6,41,0.25,22,13
male,175.7,1475.6,34,13.33,15,13
female,161,1918.1,32,13.75,13,13
female,160.6,110,32,2.75,14.5,11.5
female,168,904.9,49,18.08,30,13
male,175.5,137.5,51,3.33,37,8
male,186.1,355.1,29,0.08,14,9
female,166.8,859.1,44,18.17,25,13
male,174.7,572.7,45,9,26,13
male,173.8,1030.9,34,11.33,17,11
male,181,515.5,30,9,11,13
male,166.7,417.2,44,0.58,25,13
male,179.9,1145.5,47,26,26,15
female,164.8,114.5,44,3.33,25,13
female,164.2,551.5,29,1.5,8,15
male,176.4,538.4,39,10.58,23,10
female,161.9,572.7,46,4.5,29,11
female,154,171.8,43,16.17,22,15
female,158,309.3,46,10.33,28.5,11.5
male,170,572.7,52,NA,38,8
male,170.8,400.9,55,35.42,37.5,11.5
female,159.9,252,52,32.08,33,13
male,163.7,217.6,53,1.67,37,10
male,172.6,343.6,46,5.33,32,8
female,173.8,618.6,46,27.25,25,15
male,174.3,664.4,32,6.58,11,15
female,164.1,217.6,41,9.67,22,13
female,159.1,229.1,47,29.08,31,10
female,164.4,400.9,43,12.58,19,18
female,165.4,171.8,46,14.58,28.5,11.5
female,157.4,687.3,45,10.17,26,13
female,167.7,400.9,54,30.58,33,15
male,173.2,458.2,30,14.58,12.5,11.5
female,156.8,240.5,41,21.75,22,13
male,170.3,171.8,54,NA,33,15
female,161.6,171.8,55,NA,36,13
male,169.1,343.6,30,NA,11,13
male,176.2,687.3,46,10.25,25,15
female,167,458.2,45,6.08,24,15
female,158.2,286.4,36,9.75,17,13
female,157.7,309.3,34,10.25,15,13
female,168.8,515.5,34,4.08,13,15
male,175.2,458.2,47,9.67,26,15
male,181.7,575.2,42,NA,21,15
male,170.6,343.6,41,1.75,20,15
female,165.1,229.1,35,NA,16,13
male,166.9,245.1,47,27.5,26,15
male,180.3,721.6,51,14.67,35,10
male,168,435.3,51,0.92,35,10
female,160.6,171.8,44,25.08,25,13
male,168.1,252,43,23.58,27,10
male,168.2,607.1,41,NA,22,13
female,158.9,366.6,36,13,15,15
male,175,229.1,33,6.08,14,13
female,165.3,80.2,49,9.33,33,10
male,168.8,171.8,39,4.58,23,10
female,162.7,343.6,43,9.42,24,13
female,164.1,240.5,47,7.58,29.5,11.5
female,163.7,687.3,50,3.08,29,15
male,173.6,572.7,49,0.92,30,13
male,177.9,343.6,32,6.08,13,13
female,169.6,572.7,39,21.42,21.5,11.5
female,163.9,171.8,42,10.42,21,15
female,173.3,400.9,37,6.67,16,15
male,171.6,378,35,0.5,17.5,11.5
female,162.4,504,39,13.75,20,13
female,162.7,400.9,46,21.67,27,13
male,184.1,572.7,47,0.42,29.5,11.5
female,163.7,206.2,34,9,13,15
male,174,252,45,0.75,28,11
male,187.6,400.9,30,5.17,15,9
female,157.5,229.1,50,9.75,31,13
male,178,286.4,51,0.17,32,13
male,185,458.2,30,11.5,11,13
male,176.3,366.6,55,3.17,37.5,11.5
male,183.9,778.9,33,12.58,14,13
male,185.9,1145.5,32,2.58,13,13
male,186,1489.1,32,4.33,13,13
male,178.7,710.2,30,9.83,11,13
female,155.5,171.8,52,0.58,33,13
male,174.7,286.4,52,14.67,31,15
male,173.1,1489.1,33,0.67,12,15
female,169.5,343.6,44,3.25,25,13
male,173.2,297.8,43,2.92,24,13
female,160.8,400.9,47,27.83,28,13
male,172.5,492.6,49,32.25,31.5,11.5
female,163.4,242.5,43,0.92,25.5,11.5
male,169.4,160.4,47,21.42,31,10
male,162.6,1359,44,1.92,26.5,11.5
male,179.8,906,42,3.92,21,15
female,157.9,263.5,41,12.58,25,10
male,162.6,927.8,42,17.17,26,10
female,164.5,1132.5,33,7.58,15.5,11.5
male,182.8,1585.5,43,4.75,24,13
female,163,687.3,30,3.08,11,13
male,176.1,1472.3,45,0.25,29,10
female,157.3,2378.3,45,10.25,24,15
female,157.8,607.1,34,1.33,16.5,11.5
female,152.8,453,48,29.25,27,15
female,164.7,458.2,33,5.5,14,13
male,177.2,2016,31,1.5,13.5,11.5
female,156.1,1832.8,50,3.42,29,15
female,168.3,2863.7,45,21.17,26,13
male,174.9,1145.5,40,NA,19,15
female,149.3,801.8,50,17,29,15
female,142.6,99.7,34,14.83,15,13
female,153.4,378,44,0,26.5,11.5
female,161.6,1698.8,54,2.25,35,13
female,156.3,515.5,48,22.83,30.5,11.5
female,155.1,458.2,47,26.08,31,10
male,168.2,1374.6,42,2,24.5,11.5
female,150.1,171.8,53,27.08,39,8
female,162.6,1359,41,5,22,13
male,163.8,1145.5,40,6.75,24,10
male,174.5,687.3,38,20.42,24,8
female,156.1,249.7,42,6.33,21,15
male,177.7,1145.5,49,3.17,28,15
female,163.5,687.3,37,2.42,18,13
male,174.4,458.2,50,3.67,32.5,11.5
male,175.7,801.8,29,1.08,8,15
female,161.3,1603.7,39,11.83,18,15
male,173.9,3436.4,42,0.17,21,15
male,172.4,859.1,58,10.17,37,15
male,179.8,566.3,50,2.17,29,15
male,179.1,343.6,53,8.83,34,13
female,152.9,504,40,2.67,21,13
male,165.8,114.5,46,0.25,27,13
male,173,343.6,54,1.83,35,13
female,155.3,641.5,41,19.33,20,15
female,153.9,114.5,50,12,31,13
male,158.6,237.1,45,12.5,29,10
female,168.8,366.6,51,0.08,35,10
female,161.7,687.3,46,15.92,25,15
male,186.1,286.4,48,27.92,33,9
male,175.6,171.8,43,24.92,27,10
female,155,1947.3,32,0.92,13,13
female,154.2,400.9,31,2.5,10,15
female,168.9,985.1,31,0.42,10,15
female,168.3,481.1,53,27.42,34,13
male,175.4,481.1,50,NA,33,11
female,160.7,343.6,42,11,23,13
male,182.7,400.9,47,20.67,28,13
female,164.2,263.5,30,1.08,12.5,11.5
female,169.6,809,53,28.25,34,13
male,171.6,1035.1,57,33.75,41,10
female,167.7,252,51,NA,35,10
male,176.2,523.5,49,0.42,35,8
female,158.4,1374.6,54,30,35,13
female,152.4,466.9,41,20.17,20,15
male,168.4,194.7,49,34.08,31.5,11.5
male,167,57.3,46,11.67,25,15
female,152.7,458.2,44,11.08,23,15
male,165.1,311.6,59,24.33,46,7
female,162.7,137.5,43,13.33,29,8
male,165.3,91.6,50,25.67,34,10
male,178.4,481.1,41,22.42,25,10
male,183.7,43.5,58,13.58,39,13
male,165.5,68.7,45,10.58,29,10
female,156.5,137.5,44,1.42,25,13
female,159.4,148.9,41,12.42,20,15
female,161,458.2,45,1.5,26,13
male,162.2,630,44,27.08,28,10
female,153.6,229.1,42,0.25,24.5,11.5
male,166.1,274.9,43,3.42,29,8
female,163.5,906,39,6.83,18,15
male,190.5,1019.3,41,6.83,20,15
male,171.9,57.3,53,3.42,34,13
female,163.8,97.4,46,2.17,28.5,11.5
male,174.4,171.8,51,0.17,33.5,11.5
female,163.3,114.5,54,37.25,38,10
male,173,309.3,57,NA,41,10
female,164.7,229.1,50,10,32.5,11.5
male,163.2,515.5,35,9,17.5,11.5
female,169.6,229.1,43,24.17,24,13
male,181.3,229.1,37,2,23,8
female,159.6,309.3,44,16.5,25,13
male,176.1,140.4,44,18.58,23,15
female,164.1,687.3,53,7.08,32,15
female,169.3,481.1,50,25.08,29,15
male,159.8,801.8,44,0.67,23,15
female,160.7,595.6,53,10.25,34,13
male,174.6,492.6,53,7,32,15
female,163.6,572.7,31,2.67,10,15
female,158.4,446.7,41,3.17,20,15
male,178.8,1145.5,41,6.92,20,15
female,164.5,572.7,48,20.17,27,15
female,154.8,515.5,50,1.75,31,13
female,169.3,229.1,40,2.75,19,15
male,173.8,458.2,32,9.42,16,10
female,160.6,1718.2,45,8.08,27.5,11.5
male,172,1718.2,45,4.42,24,15
female,156.6,113.3,42,9.42,23,13
female,160.3,171.8,51,7.5,32,13
female,163.5,973.7,44,3.92,23,15
female,165.4,1132.5,38,10.5,19,13
female,165.2,343.6,44,8,27,11
female,158.6,41.2,52,31.17,33,13
male,169.9,116.8,50,32.08,34,10
female,161.8,916.4,42,2.67,23,13
female,164.1,730.8,54,8.08,33,15
male,184.3,1132.5,30,1.25,14,10
female,170.1,762.3,39,0.08,23,10
female,160.9,343.6,49,5.42,33,10
female,161.6,57.3,48,NA,32,10
male,167.5,286.4,54,26,38,10
female,156.3,572.7,54,1.25,35,13
female,163.9,453,52,23.75,31,15
female,161.3,260.5,30,2.83,12.5,11.5
female,152.1,286.4,38,11.25,19,13
female,172.7,286.4,40,4.83,22.5,11.5
female,161.1,561.3,30,11.17,11,13
male,180.5,1832.8,35,6.5,17.5,11.5
female,163.1,458.2,30,11.92,9,15
female,162.5,286.4,40,7.5,22.5,11.5
male,167.2,2061.9,45,3.5,26,13
female,152.3,343.6,38,14.33,17,15
female,162.4,286.4,41,3,23.5,11.5
male,168.4,1317.3,40,NA,21,13
female,158.7,572.7,33,15.17,17,10
male,172.8,229.1,33,0.25,14,13
female,162.1,801.8,45,0.5,27.5,11.5
male,175.4,1145.5,32,7.42,16,10
female,156.1,664.4,47,13.25,29.5,11.5
female,157.1,893.5,36,8.67,15,15
male,175.5,687.3,32,10.08,13,13
female,164.3,687.3,31,5.25,10,15
male,171.7,687.3,51,33.25,32,13
female,151.7,801.8,48,19.33,29,13
female,165.3,229.1,32,0,13,13
male,174.9,34.4,55,38.17,36,13
male,170.7,1145.5,47,4.5,28,13
female,160.3,183.3,47,2.33,31,10
female,160.8,824.7,28,5.25,10.5,11.5
male,175.4,572.7,57,2.75,40,11
female,158.4,400.9,52,20.58,33,13
female,164.9,229.1,43,7.33,25.5,11.5
female,165.2,389.5,54,3.58,35,13
male,166,801.8,57,8.83,36,15
male,174,51.5,57,0.17,41,10
female,156.5,213.1,31,8.67,12,13
female,177.4,584.2,38,0.5,17,15
female,160.1,320.7,55,33,39,10
female,166.2,206.2,53,30.92,37,10
male,169.7,916.4,56,11.33,40,10
female,166.3,1260,29,0.67,10,13
female,158.3,481.1,54,19.08,35,13
female,168.7,57.3,53,3.5,37,10
female,182.9,572.7,31,13.67,12,13
female,164.4,286.4,33,0.08,12,15
male,179.9,790.4,34,0.92,13,15
female,173.8,572.7,49,10.33,30,13
male,185.9,343.6,48,11.33,27,15
female,167.6,343.6,30,4.75,9,15
male,181.8,572.7,31,4.08,10,15
male,171.7,744.6,59,36.5,43,10
female,162.1,1389.5,30,8.58,9,15
male,177.9,1145.5,40,0.33,22.5,11.5
female,158.7,756,46,1.17,27,13
female,169.9,916.4,36,16.58,18.5,11.5
female,157.5,274.9,42,8,23,13
male,187.5,492.6,50,18.75,29,15
female,152.9,246.3,35,10,16,13
male,179.4,687.3,39,0.67,20,13
female,162.5,114.5,45,20.17,24,15
male,176,801.8,49,10.42,30,13
female,157,297.8,47,5.42,29.5,11.5
female,161,171.8,41,12,22,13
male,175,687.3,39,3.92,21.5,11.5
male,184.8,492.6,28,10.17,11,11
female,168,186.6,44,10.33,28,10
female,159.1,143,37,0.17,16,15
male,170,343.6,46,0.83,30,10
female,158,NA,43,10.92,24,13
female,168.1,57.3,44,1.5,28,10
male,172.1,343.6,49,19.58,35,8
male,167.8,194.7,48,0.33,32,10
female,161.8,286.4,47,24.08,29.5,11.5
male,176.4,246.3,51,8.08,33.5,11.5
male,164.7,859.1,51,7.25,33.5,11.5
female,164.6,66.4,45,0.17,27.5,11.5
male,183.3,916.4,43,11.17,27,10
female,167.1,97.4,43,1.83,25.5,11.5
female,158.1,1214.2,41,0.75,22,13
male,166.8,515.5,57,11.75,43,8
female,159,481.1,45,0.67,26,13
male,188,859.1,44,1.08,28,10
female,159.1,114.5,53,19.25,37,10
male,173.1,526.9,54,2.25,38,10
male,164.3,230.1,55,NA,36,13
male,158.5,57.3,33,1.42,15.5,11.5
female,157.8,114.5,38,1.25,20.5,11.5
male,174,297.8,53,8,34,13
female,159.7,453.6,52,13.08,31,15
female,168.3,229.1,50,28.17,29,15
male,173.1,NA,48,5.83,32,10
female,161.1,460.1,51,14.25,35,10
female,155.3,65.9,28,4.75,14,8
female,154.9,115.6,40,22,24,10
male,161.7,229.1,45,23.58,27.5,11.5
male,176.1,287.6,51,3,30,15
female,157.5,1145.5,46,27.17,30,10
male,161.5,778.9,48,3.83,30.5,11.5
female,166.7,687.3,36,13.42,18.5,11.5
male,181.3,572.7,30,0.58,18,6
female,147.7,687.3,46,19.42,28.5,11.5
female,160.9,343.6,49,27.42,32,11
female,157.5,458.2,49,32.33,33,10
male,180.1,1132.5,31,2,10,15
female,152.8,458.2,46,15.67,27,13
female,172.6,710.2,42,23.42,21,15
female,163.1,203.9,42,10.75,23,13
female,156,792.8,41,5.33,23.5,11.5
male,175.3,343.6,38,1.42,22,10
female,152.8,1008,49,23.58,28,15
female,167.2,1088.2,31,7.08,10,15
male,179.8,544.1,56,33.83,35,15
female,167.5,572.7,34,2,15,13
female,167,229.1,35,17.25,17.5,11.5
female,164.3,389.5,45,26.17,26,13
male,170.1,687.3,44,6.42,26.5,11.5
female,153.5,400.9,52,6.67,33,13
male,177.9,572.7,51,24.25,30,15
male,176.6,114.5,39,17.67,21.5,11.5
female,164.8,343.6,48,31.92,31,11
male,170.1,572.7,51,21.58,35,10
female,175.9,687.3,32,10.17,11,15
male,179.1,2831.3,59,5,38,15
male,181.3,286.4,35,2.67,17.5,11.5
female,164.8,423.8,49,12.08,28,15
male,168.2,687.3,57,1.92,36,15
female,166,378,55,1.25,40,9
male,175.8,343.6,54,7,38,10
male,181.1,441,57,1.92,41,10
female,161.2,349.4,54,38,38,10
male,168.2,229.1,45,0.25,29,10
female,165.8,229.1,33,5,15.5,11.5
male,182.9,343.6,57,NA,41,10
male,174.5,400.9,45,NA,27.5,11.5
male,176.7,286.4,53,NA,37,10
female,160.4,194.7,41,2.42,22,13
female,158.8,171.8,55,19.92,41,8
female,157.9,229.1,33,13.08,14,13
male,169.9,343.6,38,3.67,17,15
female,163.8,1698.8,36,3.33,15,15
male,179.8,283.1,39,3.33,23,10
male,165.4,458.2,32,11.92,13,13
female,158.1,343.6,50,20.17,32.5,11.5
female,163.3,114.5,53,7.75,34,13
female,161.6,126,38,0.33,20.5,11.5
female,156.1,229.1,51,0.83,33.5,11.5
female,170.8,1374.6,54,34.08,36.5,11.5
male,177.7,137.5,43,11,25.5,11.5
male,177.3,97.4,52,NA,36,10
female,168.3,97.4,49,28.75,30,13
male,173.4,114.5,55,3.08,39,10
female,162,229.1,53,0.5,39,8
female,151.8,114.5,36,12.17,22,8
male,164.2,114.5,35,0.75,21,8
male,187.1,240.5,45,1.42,27.5,11.5
female,164.8,171.8,43,9.25,24,13
male,175.9,229.1,50,5.75,37,7
female,157.6,NA,35,0.08,21,8
female,155.7,311.6,46,4.58,28.5,11.5
male,171.1,389.5,49,3.17,33,10
female,155.3,160.4,34,0.75,18,10
female,166.7,286.4,45,25.92,26,13
male,165.6,687.3,57,0.58,43,8
female,154.2,183.3,50,0.33,36,8
female,161.1,240.5,30,1.83,16,8
male,189.3,744.6,41,1.83,20,15
female,169.2,549.8,34,1.08,16.5,11.5
female,163.8,22.7,30,2.17,17,7
female,161.5,595.6,42,5.67,23,13
male,166.6,263.5,44,5.75,28,10
male,176.9,126,47,25.17,28,13
female,159.2,286.4,51,NA,32,13
female,161.1,286.4,43,3.25,27,10
male,158.4,343.6,49,12.33,33,10
female,160.1,229.1,29,0.83,14,9
male,178.2,171.8,55,33.83,39,10
female,158.6,68.7,44,20.5,28,10
male,186,458.2,45,10.17,29,10
female,160.6,332.2,42,1,28,8
female,160.1,687.3,30,10.67,11,13
female,172.2,297.8,29,11.17,10,13
male,186.9,343.6,52,2.83,36,10
female,158.9,481.1,44,26.17,23,15
female,164.8,320.7,45,20.17,26,13
male,183.8,801.8,46,19.25,27,13
female,171.8,229.1,32,1.75,16,10
female,160.8,126,49,7.42,31.5,11.5
male,180.9,916.4,31,0.33,15,10
female,161.3,113.3,32,0.5,18,8
male,172.8,1132.5,29,0.33,12,11
female,160.6,206.2,46,27.58,27,13
male,172.5,263.5,48,25,29,13
male,176.8,226.5,30,0.67,13,11
female,166.4,152.9,41,1.5,23.5,11.5
female,167.2,396.4,49,6.42,33,10
female,163.5,229.1,28,4.42,9,13
female,165.2,181.2,53,18,34,13
male,175.4,339.8,54,34.67,40,8
male,172.2,113.3,46,12.75,25,15
female,164.3,113.3,40,10.58,21,13
female,166.5,679.5,38,17.25,17,15
male,174.3,566.3,39,9.67,18,15
female,162.5,1832.8,44,16.58,23,15
male,182,NA,48,5.25,27,15
female,162.8,171.8,52,1.67,31,15
female,164,801.8,48,7.25,29,13
female,155.8,630,46,16.75,27,13
male,180,801.8,47,2.17,26,15
male,180,373.7,59,12.58,38,15
female,157.9,297.8,51,5.75,30,15
male,176,274.9,52,0.33,33,13
female,168,355.1,30,4.75,9,15
female,165,435.3,40,9.5,21,13
female,153.7,492.6,45,10.92,26,13
male,175,1145.5,46,11.33,25,15
female,155.9,183.3,49,31.08,30,13
male,175.7,572.7,48,21.58,32,10
female,163.1,526.9,43,27.17,22,15
male,177.7,973.7,45,27.17,24,15
female,155,446.7,45,28.17,29,10
female,160.5,400.9,51,3.5,32,13
male,173.9,400.9,49,3.25,31.5,11.5
male,173.3,906,41,4.5,25,10
female,170.7,400.9,36,18.17,15,15
female,161.4,282.9,47,23.17,26,15
female,165.8,400.9,49,2.58,28,15
male,171.5,NA,43,NA,24,13
female,164.5,1718.2,51,19.17,30,15
male,173.2,413.4,29,0.67,8,15
female,158.1,400.9,51,7.42,32,13
female,158.6,801.8,45,7.92,24,15
female,162.2,687.3,36,5,15,15
male,176.2,801.8,34,0.33,18,10
female,162,NA,33,14.67,15.5,11.5
male,176.2,NA,37,20.08,21,10
female,154.2,407.7,48,4.33,29,13
male,170.3,475.7,57,2.17,39.5,11.5
female,165,435.3,44,7.92,25,13
male,173.7,515.5,46,3.5,28.5,11.5
female,159.7,521,35,17.25,17.5,11.5
female,165.6,458.2,40,3.92,19,15
male,174.6,618.6,38,17.08,20.5,11.5
female,159.4,481.1,47,21.5,31,10
male,170.8,1228.9,42,21.83,26,10
male,175.8,343.6,42,0.67,24.5,11.5
male,181.8,641.5,31,6.08,7,18
female,161,566.3,36,8.92,15,15
female,165.8,1374.6,41,2.67,17,18
female,170.5,400.9,51,1.08,30,15
male,175,NA,49,1.5,28,15
female,165.4,400.9,36,9.67,17,13
male,169.8,572.7,44,2.08,23,15
female,157.7,343.6,43,2.25,22,15
male,161.8,343.6,60,6,39,15
female,161.4,286.4,30,0.08,12.5,11.5
male,165.3,652.9,34,13.17,18,10
female,170.3,1603.7,42,24,24.5,11.5
female,165,252,33,15,15.5,11.5
female,162.3,229.1,52,0.92,36,10
female,165.4,458.2,45,6.25,24,15
male,167.9,572.7,46,5.33,30,10
male,180.1,458.2,39,3.08,21.5,11.5
female,167.6,229.1,37,11,16,15
male,180.4,572.7,49,1.92,28,15
female,161.2,194.7,47,9.25,28,13
female,168.2,784.7,46,24.08,25,15
male,175.6,343.6,49,3.5,28,15
female,168.4,263.5,47,4.75,31,10
male,166.2,687.3,44,0.08,28,10
female,167.5,566.3,37,6,19.5,11.5
male,181.7,679.5,38,9.17,20.5,11.5
female,157.6,343.6,46,0.33,28.5,11.5
male,165.2,343.6,53,6.92,35.5,11.5
female,166,572.7,53,5.17,32,15
female,158.1,1557.8,45,8.33,26,13
male,177.1,916.4,43,0.08,24,13
female,159.4,517.4,47,0.92,28,13
female,162.4,400.9,49,26,33,10
female,158.4,458.2,35,0.92,17.5,11.5
female,170.4,515.5,38,20.33,22,10
male,179.6,767.5,39,0.17,20,13
female,156.8,332.2,55,18.67,39,10
female,169,469.6,48,26.17,27,15
male,167.2,171.8,54,34.25,35,13
female,166.1,131.5,48,31.08,32,10
male,176.6,916.4,48,7.33,30.5,11.5
female,173.6,286.4,31,11.17,10,15
male,185.6,1718.2,29,4.5,10,13
female,160.2,1030.9,40,10.75,19,15
female,159.8,286.4,35,12.42,17.5,11.5
male,180.4,572.7,41,1.08,22,13
male,181,572.7,45,5.25,29,10
female,158.9,206.2,44,1.58,26.5,11.5
female,160.5,389.5,39,8.92,18,15
female,153.3,315,46,7,27,13
male,161.3,3436.4,52,11.5,31,15
female,156.6,332.2,32,1.92,14.5,11.5
female,167.4,687.3,54,2.67,35,13
male,177.4,916.4,52,0.25,36,10
male,166.4,2291,38,1.17,20.5,11.5
female,155.5,1030.9,27,1.25,12,9
female,167.2,458.2,32,0.25,11,15
male,171.6,801.8,42,0.5,26,10
male,171.4,400.9,29,9.33,11.5,11.5
male,172.1,595.6,38,14.17,20.5,11.5
female,165.1,423.8,54,31.17,33,15
female,168.6,263.5,31,6.17,10,15
female,176.5,1374.6,36,1,15,15
female,164.7,1132.5,42,3.83,21,15
female,161.8,1087.2,46,2.08,27,13
female,161.3,801.8,55,9.17,36,13
female,163.4,1145.5,33,2.67,14,13
female,162.3,2061.9,31,4.17,12,13
male,177.4,1718.2,36,4.67,15,15
female,164,458.2,31,4.08,13.5,11.5
male,175,NA,51,8.83,30,15
female,157.6,672.1,52,12.33,34.5,11.5
male,176.3,NA,43,0.08,22,15
female,167.1,1120.2,40,8.5,19,15
male,183.3,1145.5,58,9.42,37,15
male,184.2,1698.8,50,10.5,32.5,11.5
female,166.7,1302.4,44,27.17,25,13
female,162.6,916.4,47,2.25,31,10
male,193.1,407.7,48,2.67,32,10
male,177.2,687.3,42,3.08,28,8
female,157.9,630,40,6.67,24,10
female,162.8,572.7,51,3.25,35,10
female,165.1,453,48,0.58,33,9
male,167.5,453,53,9.83,34,13
male,181,1019.3,30,1.33,9,15
male,185.8,NA,41,10.58,25,10
female,168.6,560.1,42,7.08,26,10
female,162.7,1120.2,54,11.83,35,13
female,162.4,784.1,39,6.67,21.5,11.5
male,163.6,1008.2,37,2.67,19.5,11.5
female,183.4,588.9,32,9.17,8,18
female,162.9,1374.6,32,1.92,14.5,11.5
female,163.7,458.2,48,23.17,29,13
male,175.5,1260,47,9.58,31,10
female,163.2,801.8,38,4.08,22,10
female,170.3,801.8,33,5.25,17,10
female,170.4,679.5,45,1.17,24,15
female,167,1359,34,15.25,13,15
male,176.2,1132.5,31,2.67,13.5,11.5
female,163.6,679.5,54,0.67,33,15
male,170.3,1431.8,50,0.42,34,10
male,171.7,1489.1,58,8.83,40.5,11.5
female,167.6,1698.8,37,4.67,16,15
female,165.6,515.3,28,4.17,10.5,11.5
male,181.8,1019.3,51,1.08,37,8
female,156.4,736.1,51,3.58,32,13
male,175.2,906,55,19.42,39,10
female,154.1,652.9,52,8.5,36,10
female,160.8,2038.5,39,0.83,18,15
male,170.7,679.5,53,29.5,34,13
male,186.1,1145.5,39,14.5,18,15
female,160.6,343.6,54,35.25,36.5,11.5
female,171.9,265.8,41,0.83,20,15
male,183.4,1374.6,43,10.58,27,10
female,166.9,687.3,43,8.67,24,13
male,177.1,458.2,43,26,27,10
female,161.6,339.8,54,9.58,35,13
female,168.5,1741.1,44,7.25,26.5,11.5
male,182.9,2520,40,6.67,19,15
female,152.7,572.7,51,7.33,35,10
female,172.2,336.1,36,3.58,15,15
male,176.1,560.1,39,0.33,23,10
male,175.7,543.6,33,2.67,17,10
female,164.7,396.4,30,3.58,14,10
female,162,135.9,32,8.75,13,13
female,167.7,169.9,31,7.17,7,18
female,164.6,1317.3,34,5.25,13,15
female,151.2,801.8,43,5.5,22,15
female,175.8,672.1,44,0.83,28,10
male,169.8,1489.1,44,22.92,26.5,11.5
female,163.1,916.4,44,0.58,25,13
female,157.2,1145.5,47,25.17,26,15
male,175.6,801.8,47,12.75,28,13
female,164.1,1132.5,47,22.42,29.5,11.5
male,171.8,572.7,52,4.5,36,10
male,179,2800.5,51,23.5,32,13
male,173.1,1245.8,57,8.83,36,15
female,165.3,906,46,8,25,15
female,173.1,679.5,45,6.67,24,15
male,175.6,2265,44,8.08,23,15
female,165.5,566.3,30,2.58,14,10
female,161.3,566.3,28,0.67,9,13
male,172.1,2978.2,35,5.75,16,13
female,156.8,400.9,50,0.58,34,10
female,169.7,171.8,35,0.08,16,13
male,172.3,2291,36,6.33,18.5,11.5
female,164.2,2291,35,1.17,18,11
male,172.6,687.3,53,2,37,10
male,182.7,1718.2,44,4.5,23,15
male,182.6,1030.9,42,4.75,21,15
female,162.4,560.1,51,0.92,33.5,11.5
